Warehouse_ID,Warehouse_Name,Warehouse_Type,City,State,Pincode,Area_sqft,Capacity_tons,Current_Stock_tons,Manager_Name,Manager_Phone,Established_Year,Cold_Storage,Operational_Status,Monthly_Cost_INR,Carrier_ID
WH00017,Tezpur Dark Store 17,Hub,Tezpur,Assam,275118,277110,6524,2667,Manager_292,9479141376,2004,FALSE,Expanding,3016721.17,CAR014
WH00018,Tezpur Mother Warehouse 18,Cold Storage,Tezpur,Assam,546358,159110,9510,2129,Manager_131,9864022753,2002,TRUE,Under Maintenance,2649785.07,CAR004
WH00019,Silchar Hub 19,Transit Depot,Silchar,Assam,502206,205061,8320,3632,Manager_357,9131331362,2017,TRUE,Under Maintenance,2715940.62,CAR012
WH00020,Meerut Cold Storage 20,Cold Storage,Meerut,Uttar Pradesh,413460,292771,7527,7646,Manager_480,9885096783,1998,0,Active,4690629.08,CAR004
WH00021,Lucknow Mother Warehouse 21,Spoke,Lucknow,Uttar Pradesh,918672,174873,5025,2894,Manager_426,9749824643,2005,FALSE,Expanding,4341075.88,CAR010
WH00022,Rohtak Fulfillment Center 22,Spoke,Rohtak,Haryana,539416,230061,9395,3533,Manager_98,9807736174,2022,TRUE,Under Maintenance,3893685.39,CAR015
WH00023,Jodhpur Transit Depot 23,Hub,Jodhpur,Rajasthan,445071,155387,5148,2243,Manager_478,9503897475,2013,TRUE,Inactive,1336231.28,CAR012
WH00024,Trichy Cold Storage 24,Dark Store,Trichy,Tamil Nadu,146051,unknown,2663,1696,Manager_199,,2006,TRUE,Expanding,2327858.94,CAR006
WH00025,Salem Cold Storage 25,Spoke,Salem,Tamil Nadu,734893,38724,2534,8089,Manager_439,9625849917,2010,TRUE,Inactive,2465331.17,CAR008
WH00026,Madurai Hub 26,Transit Depot,Madurai,Tamil Nadu,714238,34923,5756,652,Manager_494,9557930825,2016,TRUE,Under Maintenance,4124615.92,CAR003
WH00027,Gurugram Dark Store 27,Spoke,Gurugram,Haryana,313046,30695,57,5332,Manager_89,9852112553,2020,FALSE,Expanding,65142.28,CAR001
WH00028,Kota Transit Depot 28,Spoke,Kota,Rajasthan,786447,171197,3172,5803,Manager_337,9453648366,2002,TRUE,Active,3740688.21,CAR010
WH00029,Kannur Spoke 29,Fulfillment Center,Kannur,Kerala,796703,125934,3960,6195,Manager_491,9693625664,2021,TRUE,Expanding,3018502.33,CAR004
WH00030,Nashik Mother Warehouse 30,Hub,Nashik,Maharashtra,902203,59187,9974,5324,Manager_76,9794176000,2010,TRUE,Under Maintenance,1267418.02,CAR007
WH00031,Manali Mother Warehouse 31,Mother Warehouse,Manali,Himachal Pradesh,800363,196005,7401,8017,Manager_350,9438887279,2013,TRUE,Inactive,392074.5,CAR003
WH00032,Lucknow Hub 32,Mother Warehouse,Lucknow,Uttar Pradesh,953121,122483,9969,1540,Manager_245,9864857513,2002,FALSE,Inactive,4881275.34,CAR005
WH00033,Dibrugarh Mother Warehouse 33,Cold Storage,Dibrugarh,Assam,993418,28106,5548,1155,Manager_75,9515924860,2017,TRUE,Inactive,3079285.1,CAR015
WH00034,Mapusa Cold Storage 34,Fulfillment Center,Mapusa,Goa,539720,76891,5215,8688,Manager_66,9155902283,2016,FALSE,Under Maintenance,4340992.8,CAR005
WH00035,Ahmedabad Spoke 35,Dark Store,Ahmedabad,Gujarat,495789,163240,2600,382,Manager_155,9749018268,2005,TRUE,Under Maintenance,1309663.58,CAR011
WH00036,Bathinda Dark Store 36,Mother Warehouse,Bathinda,Punjab,287294,168962,1724,3383,Manager_341,9443382029,1998,FALSE,Active,2677565.86,CAR010
WH00037,Aurangabad Transit Depot 37,Transit Depot,Aurangabad,Maharashtra,745530,32261,1151,2441,Manager_215,9980923518,2018,TRUE,Active,3201886.34,CAR014
WH00038,Karimnagar Transit Depot 38,Spoke,Karimnagar,Telangana,475195,210105,5166,8178,Manager_134,9197187535,2014,FALSE,Expanding,3470446.49,CAR005
WH00039,Siliguri Fulfillment Center 39,Cold Storage,Siliguri,West Bengal,400264,214940,4698,7379,Manager_247,9783179331,2000,TRUE,Expanding,2359818.19,CAR012
WH00040,Noida Cold Storage 40,Transit Depot,Noida,Delhi,359063,169608,2047,1306,Manager_170,9916056588,2023,TRUE,Inactive,4033192.36,CAR002
WH00041,Bhagalpur Transit Depot 41,Transit Depot,Bhagalpur,Bihar,514207,81965,7678,7465,Manager_119,9430640140,2019,TRUE,Under Maintenance,3865018.88,CAR007
WH00042,Vadodara Cold Storage 42,Cold Storage,Vadodara,Gujarat,399212,89286,8112,7166,Manager_292,9541633848,2001,FALSE,Expanding,863574.48,CAR009
WH00043,Shimla Cold Storage 43,Mother Warehouse,Shimla,Himachal Pradesh,121939,212482,6020,4346,Manager_94,9365942601,2010,TRUE,Active,1302636.27,CAR010
WH00044,Warangal Fulfillment Center 44,Dark Store,Warangal,Telangana,521504,154740,6413,7917,Manager_89,9471272002,2021,FALSE,Expanding,2556195.66,CAR008
WH00045,Haridwar Dark Store 45,Fulfillment Center,Haridwar,Uttarakhand,259528,154183,9650,1095,Manager_472,9207442500,2003,FALSE,Expanding,2615551.41,CAR014
WH00046,Warangal Spoke 46,Fulfillment Center,Warangal,Telangana,388580,3044,8660,2445,Manager_287,9719443474,2010,FALSE,Inactive,2508466.37,CAR013
WH00047,Pune Dark Store 47,Dark Store,Pune,Maharashtra,427362,171204,8116,812,Manager_483,9980146176,2001,TRUE,Inactive,244691.33,CAR009
WH00048,Madurai Fulfillment Center 48,Cold Storage,Madurai,Tamil Nadu,458095,8276,6418,6496,Manager_188,9226686578,2016,FALSE,Active,2855627.99,CAR007
WH00049,Silchar Fulfillment Center 49,Dark Store,Silchar,Assam,569472,214706,4216,8140,Manager_12,9681428416,2011,FALSE,Active,2723119.96,CAR014
WH00050,Guwahati Cold Storage 50,Fulfillment Center,Guwahati,Assam,728228,165430,9275,4861,Manager_279,9810271195,2024,TRUE,Inactive,4229047.39,CAR007
WH00051,Howrah Fulfillment Center 51,Fulfillment Center,Howrah,West Bengal,456330,95728,7925,8696,Manager_113,9437345303,2023,FALSE,Inactive,380729.6,CAR012
WH00052,Dehradun Dark Store 52,Spoke,Dehradun,Uttarakhand,850836,108897,2988,50,Manager_53,9613150519,2002,TRUE,Active,2851537.54,CAR005
WH00053,Shimla Transit Depot 53,Mother Warehouse,Shimla,Himachal Pradesh,398128,192434,8637,426,Manager_68,9748071857,2004,TRUE,Expanding,297364.15,CAR015
WH00054,Jalandhar Mother Warehouse 54,Hub,Jalandhar,Punjab,949476,242976,5794,3613,Manager_213,9838857743,2021,TRUE,Under Maintenance,1312730.55,CAR007
WH00055,Silchar Transit Depot 55,Spoke,Silchar,Assam,720700,259566,3210,560,Manager_350,9386938540,2022,FALSE,Under Maintenance,4982379.93,CAR011
WH00056,Dhanbad Fulfillment Center 56,Dark Store,Dhanbad,Jharkhand,260845,59384,9565,8292,Manager_252,9595166398,2017,TRUE,Under Maintenance,624609.05,CAR004
WH00057,Noida Hub 57,Dark Store,Noida,Delhi,482928,264127,7018,,Manager_403,9309638818,2014,FALSE,Under Maintenance,2500742.11,CAR014
WH00058,Thiruvananthapuram Hub 58,Transit Depot,Thiruvananthapuram,Kerala,917082,299640,2223,2798,Manager_312,9404262474,2006,FALSE,Inactive,606332.84,CAR013
WH00059,Howrah Fulfillment Center 59,Spoke,Howrah,West Bengal,546982,21992,1040,3262,Manager_380,9166076224,2017,FALSE,Expanding,3786815.86,CAR007
WH00060,Kota Transit Depot 60,Mother Warehouse,Kota,Rajasthan,489966,34696,4004,4561,Manager_406,9303184195,2017,N,Under Maintenance,3242157.45,CAR004
WH00061,Jaipur Mother Warehouse 61,Transit Depot,Jaipur,Rajasthan,830662,60962,6944,1624,Manager_251,9882519176,2007,TRUE,Inactive,331038.81,CAR012
WH00062,Panaji Hub 62,Cold Storage,Panaji,Goa,320982,132519,3659,8183,Manager_472,9857448631,2018,TRUE,Inactive,3719650.72,CAR015
WH00063,Patiala Fulfillment Center 63,Mother Warehouse,Patiala,Punjab,922391,133228,6401,4370,Manager_476,9569258240,2024,TRUE,Expanding,1889378.83,CAR014
WH00064,Cuttack Hub 64,Transit Depot,Cuttack,Odisha,447882,156268,6846,6763,Manager_262,9415571576,2007,TRUE,Inactive,4513646.13,CAR013
WH00065,Hubli Cold Storage 65,Cold Storage,Hubli,Karnataka,853119,236334,5544,1457,Manager_498,9791464537,2000,TRUE,Active,1762545.78,CAR015
WH00066,Bokaro Transit Depot 66,Transit Depot,Bokaro,Jharkhand,152221,48069,2208,3650,Manager_436,9418194726,2007,FALSE,Inactive,3531331.07,CAR008
WH00067,Nagpur Cold Storage 67,Mother Warehouse,Nagpur,Maharashtra,589878,91107,4794,8929,Manager_74,9376156800,2005,TRUE,Inactive,2244951.87,CAR013
WH00068,Gurugram Fulfillment Center 68,Hub,Gurugram,Delhi,281509,72698,4420,7071,Manager_129,,2007,TRUE,Under Maintenance,3173146.53,CAR001
WH00069,Belagavi Hub 69,Fulfillment Center,Belagavi,Karnataka,705216,80881,9972,7094,Manager_140,9751453509,2019,TRUE,Expanding,1239300.03,CAR004
WH00070,Aurangabad Mother Warehouse 70,Cold Storage,Aurangabad,Maharashtra,675352,232076,9955,,Manager_223,9496588748,2003,FALSE,Inactive,1174768.55,CAR005
WH00071,Gwalior Cold Storage 71,Mother Warehouse,Gwalior,Madhya Pradesh,277795,166613,4951,4199,Manager_26,9595964883,2010,FALSE,Active,4383457.53,CAR011
WH00072,Sambalpur Transit Depot 72,Spoke,Sambalpur,Odisha,930342,163506,9499,2909,Manager_213,9554154663,2010,TRUE,Inactive,3763861.42,CAR011
WH00073,Darbhanga Fulfillment Center 73,Spoke,Darbhanga,Bihar,914110,169491,9330,8271,Manager_136,9874410160,2014,FALSE,Inactive,3049933.92,CAR002
WH00074,Bhopal Transit Depot 74,Dark Store,Bhopal,Madhya Pradesh,874839,248117,1739,3740,Manager_8,9637311677,2007,TRUE,Inactive,2530510,CAR013
WH00075,Jamshedpur Cold Storage 75,Spoke,Jamshedpur,Jharkhand,412695,270742,1371,1100,Manager_244,9508889761,2022,TRUE,Under Maintenance,4253056.11,CAR004
WH00076,Trichy Transit Depot 76,Transit Depot,Trichy,Tamil Nadu,327554,104635,9850,5444,Manager_289,9817236085,2010,FALSE,Inactive,3149151.34,CAR001
WH00077,Ujjain Spoke 77,Fulfillment Center,Ujjain,Madhya Pradesh,340225,120930,6998,5378,Manager_82,9358102440,2009,FALSE,Active,2456018.59,CAR006
WH00078,Amritsar Transit Depot 78,Cold Storage,Amritsar,Punjab,,146405,9966,8766,Manager_434,9958219642,2015,TRUE,Under Maintenance,1319348.04,CAR015
WH00079,Mysuru Hub 79,Cold Storage,Mysuru,Karnataka,,77188,3726,55,Manager_380,,2019,FALSE,Inactive,4076412.98,CAR004
WH00080,Meerut Cold Storage 80,Transit Depot,Meerut,Uttar Pradesh,590116,170728,9620,5942,Manager_10,9967804206,2002,TRUE,Under Maintenance,4247151.24,CAR008
WH00081,Asansol Spoke 81,Hub,Asansol,West Bengal,815608,241100,1282,5084,Manager_203,9121275020,2013,TRUE,Under Maintenance,4468617.96,CAR012
WH00082,Tezpur Fulfillment Center 82,Transit Depot,Tezpur,Assam,698520,167638,9316,6646,Manager_386,9842621705,2004,FALSE,Under Maintenance,4382810.86,CAR014
WH00083,Siliguri Dark Store 83,Cold Storage,Siliguri,West Bengal,274122,139159,125,4435,Manager_440,9391570994,2001,TRUE,Inactive,1857708.54,CAR009
WH00084,Ahmedabad Mother Warehouse 84,Hub,Ahmedabad,Gujarat,300793,252062,8950,7935,Manager_111,9635558402,2017,FALSE,Active,2661251.57,CAR014
WH00085,Hyderabad Fulfillment Center 85,Cold Storage,Hyderabad,Telangana,213902,4705,4586,1029,Manager_76,9599661520,2000,FALSE,Active,190365.09,CAR004
WH00086,Howrah Transit Depot 86,Transit Depot,Howrah,West Bengal,372820,103561,4836,912,Manager_290,9651614402,2017,FALSE,Expanding,2517443.84,CAR015
WH00087,Chennai Spoke 87,Hub,Chennai,Tamil Nadu,508787,237367,6790,8809,Manager_381,9969604761,2016,FALSE,Active,3710091.38,CAR008
WH00088,Bokaro Mother Warehouse 88,Mother Warehouse,Bokaro,Jharkhand,179652,74390,2624,1877,Manager_75,9258933041,2015,TRUE,Inactive,2858963.56,CAR004
WH00089,Haldwani Cold Storage 89,Hub,Haldwani,Uttarakhand,301391,170034,4710,1014,Manager_82,9595110537,2012,TRUE,Expanding,2894945.58,CAR006
WH00090,Guwahati Transit Depot 90,Dark Store,Guwahati,Assam,525667,281860,9120,7819,Manager_220,9314116144,2022,1,Inactive,1406247.27,CAR005
WH00091,Mumbai Spoke 91,Dark Store,Mumbai,Maharashtra,790655,262316,4015,5262,Manager_476,9548039806,2005,TRUE,Under Maintenance,4050016.37,CAR006
WH00092,Cuttack Fulfillment Center 92,Transit Depot,Cuttack,Odisha,897210,249071,3436,8067,Manager_147,9350540571,2016,FALSE,Expanding,2403417.52,CAR015
WH00093,Kozhikode Cold Storage 93,Cold Storage,Kozhikode,Kerala,300652,210888,8368,5622,Manager_266,9103573310,2020,FALSE,Expanding,3831066.52,CAR011
WH00094,Ludhiana Cold Storage 94,Fulfillment Center,Ludhiana,Punjab,643996,3754,726,8716,Manager_70,9851385725,2020,FALSE,Expanding,392169.8,CAR002
WH00095,Mysuru Spoke 95,Transit Depot,Mysuru,Karnataka,422992,20399,3363,4307,Manager_126,9951591680,2008,TRUE,Active,2959687.06,CAR014
WH00096,Shimla Fulfillment Center 96,Fulfillment Center,Shimla,Himachal Pradesh,807555,44303,6198,560,Manager_96,9676820623,2020,TRUE,Expanding,3400765.67,CAR012
WH00097,Pune Hub 97,Cold Storage,Pune,Maharashtra,353277,55506,4610,2190,Manager_483,9361669661,2021,TRUE,Expanding,4644322.9,CAR007
WH00098,Roorkee Fulfillment Center 98,Transit Depot,Roorkee,Uttarakhand,288700,188378,3532,2178,Manager_495,9537872384,2020,TRUE,Active,700711.66,CAR005
WH00099,Muzaffarpur Fulfillment Center 99,Spoke,Muzaffarpur,Bihar,290659,TBD,740,1295,Manager_24,9129079590,1998,TRUE,Under Maintenance,3077508.83,CAR014
WH00100,Solan Fulfillment Center 100,Fulfillment Center,Solan,Himachal Pradesh,540711,200591,9236,3111,Manager_395,9332688816,2002,FALSE,Under Maintenance,2456907.39,CAR014
WH00101,Bokaro Transit Depot 101,Transit Depot,Bokaro,Jharkhand,351026,21033,6635,7301,Manager_380,9204921699,2016,TRUE,Under Maintenance,4407422.4,CAR007
WH00102,Ambala Hub 102,Hub,Ambala,Haryana,566453,197764,2899,5979,Manager_275,9712885726,2013,TRUE,Active,2388347.97,CAR009
WH00103,Coimbatore Transit Depot 103,Spoke,Coimbatore,Tamil Nadu,401386,59110,3984,440,Manager_15,9277500899,2012,FALSE,Inactive,3702490.18,CAR003
WH00104,Patna Dark Store 104,Hub,Patna,Bihar,334310,268553,7673,6810,Manager_451,9552013254,2002,FALSE,Active,4448864.73,CAR015
WH00105,New Delhi Hub 105,Cold Storage,New Delhi,Delhi,556656,55524,314,7474,Manager_233,9876507684,2005,TRUE,Inactive,1243811.39,CAR012
WH00106,Varanasi Cold Storage 106,Dark Store,Varanasi,Uttar Pradesh,290186,204507,9047,3007,Manager_305,9775827945,2018,FALSE,Active,4384480.09,CAR011
WH00107,Silchar Dark Store 107,Fulfillment Center,Silchar,Assam,318805,260226,5569,4192,Manager_195,9774868388,2007,FALSE,Under Maintenance,3678861.71,CAR002
WH00108,Asansol Cold Storage 108,Transit Depot,Asansol,West Bengal,419906,20939,7275,5781,Manager_389,9438626306,2014,TRUE,Active,2312638.37,CAR015
WH00109,Guwahati Dark Store 109,Transit Depot,Guwahati,Assam,770296,19768,8309,7565,Manager_291,9494810612,1998,TRUE,Active,2353711.2,CAR004
WH00110,Mapusa Transit Depot 110,Hub,Mapusa,Goa,472234,112079,3671,,Manager_249,9627915433,2010,FALSE,Expanding,2961430.07,CAR012
WH00111,Dibrugarh Fulfillment Center 111,Transit Depot,Dibrugarh,Assam,893285,9116,8427,1796,Manager_55,9736492854,2011,FALSE,Expanding,1108565.08,CAR007
WH00112,Thiruvananthapuram Transit Depot 112,Transit Depot,Thiruvananthapuram,Kerala,924387,23372,7830,8134,Manager_58,9811623157,1999,TRUE,Inactive,2216095.23,CAR010
WH00113,Ponda Transit Depot 113,Cold Storage,Ponda,Goa,202215,23827,3361,7854,Manager_483,,2011,TRUE,Active,N/A,CAR012
WH00114,Trichy Dark Store 114,Dark Store,Trichy,Tamil Nadu,273955,202094,5293,3228,Manager_95,9264919431,2004,FALSE,Expanding,3320528.98,CAR014
WH00115,Vadodara Dark Store 115,Spoke,Vadodara,Gujarat,497601,165233,6599,6819,Manager_156,9695407901,2014,TRUE,Under Maintenance,4205055.47,CAR007
WH00116,Pune Dark Store 116,Transit Depot,Pune,Maharashtra,671962,5329,9885,4240,Manager_9,9538954775,2011,FALSE,Inactive,Confidential,CAR013
WH00117,Rishikesh Cold Storage 117,Transit Depot,Rishikesh,Uttarakhand,348385,116798,4507,3588,Manager_298,9205276060,2003,FALSE,Under Maintenance,4383302.12,CAR003
WH00118,Chennai Dark Store 118,Transit Depot,Chennai,Tamil Nadu,946019,147596,8646,2415,Manager_463,9350516698,2022,TRUE,Active,1165235.1,CAR010
WH00119,Mangaluru Hub 119,Transit Depot,Mangaluru,Karnataka,791163,179790,9587,5460,Manager_55,9479608184,2014,FALSE,Expanding,4868198.08,CAR008
WH00120,Asansol Dark Store 120,Cold Storage,Asansol,West Bengal,413845,164497,6011,3971,Manager_407,9809723825,2007,TRUE,Expanding,4840744.19,CAR001
WH00121,Sambalpur Transit Depot 121,Dark Store,Sambalpur,Odisha,182108,54175,5258,1185,Manager_4,9244629777,2010,TRUE,Inactive,2645125.6,CAR011
WH00122,Ambala Cold Storage 122,Transit Depot,Ambala,Haryana,451093,58053,1850,6117,Manager_269,9615704688,2010,TRUE,Expanding,1763674.4,CAR001
WH00123,Dharamshala Fulfillment Center 123,Spoke,Dharamshala,Himachal Pradesh,625074,15633,1512,8872,Manager_234,,2021,FALSE,Active,4428504.74,CAR005
WH00124,Vasco Cold Storage 124,Hub,Vasco,Goa,783850,260744,7678,4326,Manager_394,9390075311,2005,FALSE,Active,1852037.19,CAR002
WH00125,Patna Cold Storage 125,Transit Depot,Patna,Bihar,177016,250115,9581,2312,Manager_193,9167583538,2017,TRUE,Expanding,4879714.52,CAR015
WH00126,Guwahati Mother Warehouse 126,Mother Warehouse,Guwahati,Assam,516874,221758,8275,1873,Manager_462,9652099195,2002,yes,Inactive,3425286.74,CAR001
WH00127,Madurai Spoke 127,Dark Store,Madurai,Tamil Nadu,493422,259775,2058,2412,Manager_40,9919333852,2002,FALSE,Under Maintenance,276019.37,CAR003
WH00128,Hyderabad Dark Store 128,Hub,Hyderabad,Telangana,803511,274736,2927,3533,Manager_119,9769761768,2007,TRUE,Active,1595682,CAR009
WH00129,Rohini Dark Store 129,Spoke,Rohini,Delhi,294846,156292,6681,,Manager_469,9245396890,2017,TRUE,Active,2609127.39,CAR004
WH00130,Meerut Spoke 130,Dark Store,Meerut,Uttar Pradesh,483557,153062,3674,5781,Manager_192,9239044313,2006,TRUE,Under Maintenance,2424825.43,CAR013
WH00131,Hubli Transit Depot 131,Transit Depot,Hubli,Karnataka,859607,196034,8485,3508,Manager_437,9413322974,2013,TRUE,Expanding,2647022.84,CAR003
WH00132,Amritsar Transit Depot 132,Cold Storage,Amritsar,Punjab,736931,108399,89,1931,Manager_393,9914172406,2002,FALSE,Under Maintenance,1440202.82,CAR008
WH00133,Kanpur Transit Depot 133,Dark Store,Kanpur,Uttar Pradesh,659109,49704,8489,3714,Manager_279,9332945644,2018,FALSE,Active,1817460.61,CAR006
WH00134,Kochi Spoke 134,Transit Depot,Kochi,Kerala,372576,84906,5416,3212,Manager_493,9156814229,2024,FALSE,Active,2138769.51,CAR014
WH00135,Surat Cold Storage 135,Fulfillment Center,Surat,Gujarat,144018,103883,6307,1403,Manager_156,9446862520,2013,TRUE,Active,3878748.78,CAR003
WH00136,Asansol Dark Store 136,Dark Store,Asansol,West Bengal,160718,202387,6556,4077,Manager_253,9192689030,2006,FALSE,Expanding,4384044.99,CAR014
WH00137,Warangal Spoke 137,Cold Storage,Warangal,Telangana,801233,5751,9754,,Manager_103,,1998,TRUE,Expanding,1568629.61,CAR013
WH00138,Kochi Fulfillment Center 138,Transit Depot,Kochi,Kerala,462098,180739,718,5586,Manager_290,9885375579,1999,FALSE,Under Maintenance,3325667.76,CAR011
WH00139,Ranchi Mother Warehouse 139,Spoke,Ranchi,Jharkhand,323719,165878,8830,8241,Manager_444,9198712910,2012,FALSE,Expanding,2624594.74,CAR001
WH00140,Mapusa Hub 140,Fulfillment Center,Mapusa,Goa,535577,137595,9442,8552,Manager_181,9779219762,2011,FALSE,Inactive,1439735.03,CAR010
WH00141,Faridabad Fulfillment Center 141,Transit Depot,Faridabad,Haryana,968085,252926,1248,2474,Manager_292,9713525858,2004,FALSE,Expanding,2063437.61,CAR003
WH00142,Tezpur Fulfillment Center 142,Mother Warehouse,Tezpur,Assam,262723,165650,6477,5622,Manager_395,9165961618,2022,FALSE,Inactive,1016041.75,CAR003
WH00143,Jaipur Spoke 143,Mother Warehouse,Jaipur,Rajasthan,647208,1195,7983,275,Manager_103,9442094759,2021,TRUE,Inactive,2519191.58,CAR012
WH00144,Panipat Dark Store 144,Fulfillment Center,Panipat,Haryana,657472,178681,7162,4331,Manager_46,9562149835,2009,FALSE,Under Maintenance,--,CAR009
WH00145,Bokaro Dark Store 145,Cold Storage,Bokaro,Jharkhand,185673,248007,9877,3688,Manager_182,9533097519,2004,TRUE,Under Maintenance,4210795.94,CAR011
WH00146,Thrissur Fulfillment Center 146,Transit Depot,Thrissur,Kerala,229556,3073,7783,5544,Manager_179,9569722470,2021,N,Under Maintenance,785634.52,CAR012
WH00147,Bokaro Fulfillment Center 147,Dark Store,Bokaro,Jharkhand,431483,294616,2025,4558,Manager_454,9730724997,2000,TRUE,Expanding,321815.37,CAR008
WH00148,Pune Dark Store 148,Spoke,Pune,Maharashtra,722239,147400,855,,Manager_298,9980945547,2014,TRUE,Active,126458.87,CAR011
WH00149,Varanasi Hub 149,Transit Depot,Varanasi,Uttar Pradesh,707317,9799,6225,2925,Manager_314,9312617599,2012,FALSE,Under Maintenance,4477543.86,CAR012
WH00150,Jodhpur Mother Warehouse 150,Mother Warehouse,Jodhpur,Rajasthan,799478,236203,8081,6138,Manager_408,9684256830,2003,TRUE,Expanding,3800624.64,CAR009
WH00151,Trichy Spoke 151,Dark Store,Trichy,Tamil Nadu,658076,113438,8108,7281,Manager_314,9355658682,2000,FALSE,Inactive,1621536.92,CAR015
WH00152,Indore Hub 152,Spoke,Indore,Madhya Pradesh,659845,279991,5282,2703,Manager_383,9958901654,2016,FALSE,Expanding,259938.3,CAR010
WH00153,Siliguri Spoke 153,Spoke,Siliguri,West Bengal,116309,94080,4598,7966,Manager_401,9115657794,2009,TRUE,Inactive,4447723.75,CAR006
WH00154,Bengaluru Hub 154,Spoke,Bengaluru,Karnataka,296859,147320,7887,1816,Manager_335,9822653084,2002,TRUE,Inactive,2849077.32,CAR014
WH00155,Muzaffarpur Mother Warehouse 155,Fulfillment Center,Muzaffarpur,Bihar,827725,121789,5565,2819,Manager_88,9194184660,2009,FALSE,Under Maintenance,4333188.33,CAR008
WH00156,Guwahati Spoke 156,Dark Store,Guwahati,Assam,400904,270741,1040,1803,Manager_497,9822085338,2013,TRUE,Under Maintenance,689558.59,CAR003
WH00157,Margao Fulfillment Center 157,Spoke,Margao,Goa,948766,103448,4141,768,Manager_168,9924481900,2014,TRUE,Under Maintenance,355130.07,CAR004
WH00158,Deoghar Fulfillment Center 158,Mother Warehouse,Deoghar,Jharkhand,713739,176594,6169,,Manager_139,9286047869,2015,TRUE,Active,4910858.11,CAR010
WH00159,Rajkot Cold Storage 159,Dark Store,Rajkot,Gujarat,584958,226110,1406,7967,Manager_26,9735211449,2018,TRUE,Expanding,2419616.44,CAR005
WH00160,Nashik Transit Depot 160,Fulfillment Center,Nashik,Maharashtra,909803,193897,9985,3379,Manager_443,9139265821,2010,FALSE,Expanding,4151098.34,CAR014
WH00161,Dibrugarh Fulfillment Center 161,Dark Store,Dibrugarh,Assam,150775,--,2711,3813,Manager_145,9512098868,2007,FALSE,Under Maintenance,3321324.2,CAR006
WH00162,Meerut Dark Store 162,Mother Warehouse,Meerut,Uttar Pradesh,144149,2617,5520,7200,Manager_426,9926204300,2001,FALSE,Expanding,1284958.5,CAR004
WH00163,Jaipur Fulfillment Center 163,Cold Storage,Jaipur,Rajasthan,126879,272177,633,302,Manager_189,9443572737,2001,TRUE,Active,4603486.94,CAR014
