Carrier_ID,Carrier_Name,HQ_City,HQ_State,Fleet_Size,Founded_Year,Rating_5,Contact_Email,Annual_Revenue_Cr,Owns_Aircraft,Service_Type,Pan_India,ISO_Certified,Active_Pincodes,NPS_Score
CAR00048,DHL Express India,Hubli,Gujarat,14104,1994,2.2,ops48@carrier.in,15987.45,TRUE,Economy,TRUE,FALSE,10438,86
CAR00049,Trackon Couriers,Ludhiana,Himachal Pradesh,5627,1997,2,ops49@carrier.in,8730.11,TRUE,Economy,FALSE,TRUE,10717,67
CAR00050,Vulcan Express,Jodhpur,Himachal Pradesh,8481,2006,2.1,ops50@carrier.in,10568.38,TRUE,Economy,TRUE,FALSE,12436,13
CAR00051,DHL Express India,Siliguri,West Bengal,10960,2009,3.1,ops51@carrier.in,2199.46,FALSE,Next Day,TRUE,FALSE,9793,86
CAR00052,Porter Technologies,Rajkot,Bihar,5322,1989,2.5,ops52@carrier.in,8917.73,TRUE,Standard,FALSE,TRUE,11347,
CAR00053,Ekart Logistics,Gurugram,Karnataka,5433,1984,4.5,ops53@carrier.in,4349.74,FALSE,Standard,FALSE,TRUE,4307,31
CAR00054,Amazon Logistics India,Mandi,Uttar Pradesh,9643,2021,2.9,ops54@carrier.in,3786.26,TRUE,Economy,FALSE,FALSE,17482,16
CAR00055,Safexpress,Siliguri,Gujarat,9587,1998,2.3,ops55@carrier.in,8682.21,TRUE,Standard,TRUE,TRUE,12604,18
CAR00056,Express Roadways,Aurangabad,West Bengal,17618,1992,1.6,ops56@carrier.in,10853.85,TRUE,Same Day,TRUE,TRUE,7724,90
CAR00057,DTDC Express,Cuttack,West Bengal,8321,2009,4.6,ops57@carrier.in,13799.54,TRUE,Standard,FALSE,TRUE,9063,25
CAR00058,Dunzo Daily,Patna,Gujarat,9081,2022,3.1,ops58@carrier.in,7628.23,TRUE,Next Day,TRUE,TRUE,13856,15
CAR00059,Ecom Express,Mangaluru,Kerala,13423,1985,4.7,ops59@carrier.in,16737.23,TRUE,Economy,TRUE,FALSE,7931,45
CAR00060,Speed Post,Bhubaneswar,Punjab,8910,1984,2.5,ops60@carrier.in,undisclosed,TRUE,Economy,TRUE,FALSE,9656,72
CAR00061,Porter Technologies,Faridabad,Maharashtra,6841,1988,4,ops61@carrier.in,18610.35,TRUE,Standard,FALSE,FALSE,2319,80
CAR00062,Patel Roadways,Gwalior,Haryana,N/A,1992,4,ops62@carrier.in,5319.76,FALSE,Standard,FALSE,TRUE,2487,
CAR00063,DTDC Express,Trichy,Uttarakhand,--,2020,4.3,ops63@carrier.in,14675.73,FALSE,Express,FALSE,FALSE,15839,59
CAR00064,Dunzo Daily,Nashik,Assam,388,2019,4,ops64@carrier.in,9386.32,FALSE,Next Day,FALSE,TRUE,10126,10
CAR00065,Blue Dart Express,Jalandhar,Kerala,6721,1986,4.5,ops65@carrier.in,9829.72,FALSE,Economy,TRUE,TRUE,10057,87
CAR00066,Delhivery Ltd,Udaipur,Kerala,14947,2022,3.9,ops66@carrier.in,13912.84,FALSE,Same Day,FALSE,FALSE,12236,64
CAR00067,TCI Express,Sambalpur,Haryana,3180,1999,2.7,ops67@carrier.in,16525.64,FALSE,Standard,TRUE,TRUE,13232,47
CAR00068,DHL Express India,Darbhanga,Delhi,898,2008,3.8,ops68@carrier.in,2989.54,FALSE,Same Day,TRUE,FALSE,3069,45
CAR00069,Ecom Express,Gurugram,West Bengal,8385,1996,1.7,ops69@carrier.in,7195.87,TRUE,Next Day,TRUE,FALSE,11630,30
CAR00070,VRL Logistics,Berhampur,Jharkhand,6635,2016,2.9,ops70@carrier.in,5777.55,TRUE,Express,FALSE,FALSE,17939,39
CAR00071,Redif Logistics,Indore,Goa,8119,2013,,ops71@carrier.in,3208.23,FALSE,Same Day,FALSE,FALSE,294,27
CAR00072,FedEx India,Rajkot,Gujarat,16787,2015,3,ops72@carrier.in,10288.33,FALSE,Economy,TRUE,FALSE,8463,10
CAR00073,Vulcan Express,Trichy,Maharashtra,9727,2004,2.5,ops73@carrier.in,Confidential,TRUE,Standard,TRUE,TRUE,18779,59
CAR00074,DHL Express India,Bathinda,Jharkhand,5041,2009,1.5,ops74@carrier.in,5898.56,TRUE,Next Day,TRUE,TRUE,3459,
CAR00075,Trackon Couriers,Jaipur,Madhya Pradesh,2997,1982,3.3,ops75@carrier.in,4249,TRUE,Next Day,TRUE,FALSE,18282,72
CAR00076,Ecom Express,Deoghar,Maharashtra,2368,2004,3.6,ops76@carrier.in,10939.84,FALSE,Standard,TRUE,TRUE,6539,10
CAR00077,Amazon Logistics India,Jalandhar,Odisha,18539,2010,2.4,ops77@carrier.in,15239.59,FALSE,Same Day,FALSE,FALSE,16263,34
CAR00078,Safexpress,Nagpur,Jharkhand,16335,2013,4.8,ops78@carrier.in,16980.69,TRUE,Express,FALSE,FALSE,9394,
CAR00079,Vulcan Express,Muzaffarpur,Jharkhand,17570,2022,3.4,ops79@carrier.in,12794.98,FALSE,Express,FALSE,FALSE,14252,25
CAR00080,Ekart Logistics,Hubli,Kerala,1612,1989,4,ops80@carrier.in,undisclosed,FALSE,Standard,FALSE,TRUE,7939,52
CAR00081,DTDC Express,Gurugram,Jharkhand,19913,1984,4.6,ops81@carrier.in,4031.21,FALSE,Express,TRUE,TRUE,17400,87
CAR00082,Om Logistics,Darbhanga,Delhi,1658,1997,2.5,ops82@carrier.in,8192.12,TRUE,Express,FALSE,FALSE,14330,
CAR00083,Shadowfax Technologies,Guwahati,Karnataka,71,2016,1.9,ops83@carrier.in,--,FALSE,Express,FALSE,TRUE,11032,57
CAR00084,DTDC Express,Gurugram,Rajasthan,3625,1983,4.4,ops84@carrier.in,3087.41,TRUE,Next Day,FALSE,FALSE,11300,50
CAR00085,TVS Supply Chain,Kolkata,Assam,14437,1989,4.2,ops85@carrier.in,19376.84,FALSE,Next Day,TRUE,TRUE,1733,36
CAR00086,TVS Supply Chain,Ponda,Delhi,16620,2016,2.6,ops86@carrier.in,19644.95,TRUE,Same Day,TRUE,FALSE,13383,28
CAR00087,Vulcan Express,Asansol,Goa,2365,2011,2.6,ops87@carrier.in,14215.9,FALSE,Next Day,FALSE,FALSE,9325,58
CAR00088,Dunzo Daily,Ponda,Gujarat,15495,2018,4.8,ops88@carrier.in,16388.43,TRUE,Same Day,TRUE,FALSE,1048,61
CAR00089,Ekart Logistics,Asansol,West Bengal,7457,2013,1.9,ops89@carrier.in,16176.12,FALSE,Economy,TRUE,FALSE,10702,23
CAR00090,Dunzo Daily,Jaipur,Uttarakhand,19831,1987,,ops90@carrier.in,17799.24,FALSE,Express,TRUE,TRUE,4459,75
CAR00091,Professional Couriers,Guwahati,Haryana,1031,2007,,ops91@carrier.in,1356.79,FALSE,Standard,FALSE,FALSE,14951,90
CAR00092,Dunzo Daily,Chennai,Tamil Nadu,N/A,2015,3.9,ops92@carrier.in,19118.92,TRUE,Economy,TRUE,TRUE,6629,27
CAR00093,DHL Express India,Ahmedabad,Jharkhand,10575,2022,,ops93@carrier.in,14953.92,FALSE,Standard,FALSE,FALSE,2942,65
CAR00094,DTDC Express,Gaya,Haryana,2149,2002,4.6,ops94@carrier.in,3867.95,FALSE,Economy,TRUE,TRUE,3091,63
CAR00095,TVS Supply Chain,Bengaluru,Bihar,19081,2013,2.1,ops95@carrier.in,2151.53,FALSE,Same Day,FALSE,TRUE,11047,27
CAR00096,Amazon Logistics India,Bengaluru,Delhi,3063,2014,4.9,ops96@carrier.in,9673.47,FALSE,Standard,TRUE,FALSE,9132,84
CAR00097,DHL Express India,Manali,Uttar Pradesh,10919,2017,2.4,ops97@carrier.in,12445.44,FALSE,Next Day,TRUE,FALSE,17822,48
CAR00098,VRL Logistics,Trichy,Rajasthan,15073,1991,,ops98@carrier.in,18682.6,TRUE,Next Day,TRUE,TRUE,12404,12
CAR00099,Dunzo Daily,Kochi,Telangana,7225,1990,3.2,ops99@carrier.in,15626.15,TRUE,Economy,FALSE,FALSE,5407,29
CAR00100,Amazon Logistics India,Roorkee,Maharashtra,19305,2013,2.5,ops100@carrier.in,8781.42,TRUE,Same Day,FALSE,FALSE,1737,40
CAR00101,TVS Supply Chain,Kanpur,West Bengal,15258,2013,2,ops101@carrier.in,17416.66,TRUE,Express,TRUE,FALSE,7456,54
CAR00102,Patel Roadways,Mumbai,Telangana,13829,2001,2.6,ops102@carrier.in,13053.67,TRUE,Standard,FALSE,TRUE,12598,29
CAR00103,Spoton Logistics,Bhagalpur,Uttar Pradesh,7912,1983,2.5,ops103@carrier.in,16973.9,FALSE,Next Day,TRUE,TRUE,4013,45
CAR00104,Express Roadways,Dharamshala,West Bengal,4693,2014,2.3,ops104@carrier.in,1886.1,TRUE,Economy,TRUE,FALSE,10220,62
CAR00105,Mahindra Logistics,Jalandhar,Rajasthan,3411,1992,4.6,ops105@carrier.in,16675.78,TRUE,Express,FALSE,FALSE,12857,62
CAR00106,Ekart Logistics,Ponda,Telangana,14965,2016,2.2,ops106@carrier.in,11287.28,N,Economy,FALSE,TRUE,14185,16
CAR00107,Shadowfax Technologies,Bhagalpur,Punjab,2165,2014,2,ops107@carrier.in,17908.82,TRUE,Same Day,FALSE,FALSE,16167,32
CAR00108,Delhivery Ltd,Bokaro,Madhya Pradesh,4534,1998,2.9,ops108@carrier.in,1917.73,TRUE,Same Day,TRUE,TRUE,7345,81
CAR00109,Om Logistics,Dharamshala,West Bengal,190,1987,3.9,ops109@carrier.in,16341.74,TRUE,Same Day,FALSE,FALSE,8213,34
CAR00110,FedEx India,Jodhpur,Uttarakhand,14286,1992,3.9,ops110@carrier.in,7274.38,TRUE,Express,FALSE,TRUE,4341,36
CAR00111,Ekart Logistics,Panaji,Delhi,7031,2009,2.9,ops111@carrier.in,18432.61,TRUE,Same Day,FALSE,TRUE,5034,71
CAR00112,Speed Post,Ranchi,Tamil Nadu,474,1992,3.8,ops112@carrier.in,14462.36,FALSE,Express,TRUE,TRUE,17244,88
CAR00113,Blue Dart Express,Hubli,Karnataka,13591,1982,3.1,ops113@carrier.in,undisclosed,TRUE,Economy,TRUE,FALSE,18372,41
CAR00114,DHL Express India,Gandhinagar,Uttar Pradesh,13310,1999,2.3,ops114@carrier.in,16373.57,FALSE,Express,TRUE,TRUE,9764,48
CAR00115,Amazon Logistics India,New Delhi,Odisha,18195,1991,2.3,ops115@carrier.in,3518.55,TRUE,Same Day,FALSE,FALSE,18860,16
CAR00116,Speed Post,Agra,Gujarat,8461,2020,2.9,ops116@carrier.in,13365.48,TRUE,Standard,TRUE,FALSE,1634,65
CAR00117,Gati Ltd,Jodhpur,Odisha,2808,2018,4.9,ops117@carrier.in,18778.6,FALSE,Next Day,FALSE,TRUE,8462,24
CAR00118,Porter Technologies,Roorkee,Karnataka,15379,2005,4.8,ops118@carrier.in,5981.06,FALSE,Next Day,TRUE,FALSE,17717,30
CAR00119,FedEx India,Dehradun,Madhya Pradesh,4423,1994,2.8,ops119@carrier.in,14430.39,TRUE,Express,TRUE,TRUE,9747,65
CAR00120,Shiprocket,Kolkata,Kerala,13661,2002,4.4,ops120@carrier.in,15556.8,FALSE,Same Day,TRUE,FALSE,4776,43
CAR00121,Ekart Logistics,Udaipur,Jharkhand,14151,1986,1.6,ops121@carrier.in,123.85,FALSE,Next Day,FALSE,TRUE,17087,58
CAR00122,Trackon Couriers,Shimla,Goa,3270,2005,2.5,ops122@carrier.in,14435.51,FALSE,Standard,FALSE,TRUE,13499,64
CAR00123,Delhivery Ltd,Darbhanga,Karnataka,19645,1984,3,ops123@carrier.in,11146.06,TRUE,Next Day,TRUE,TRUE,12115,87
CAR00124,Mahindra Logistics,Ludhiana,Bihar,5323,1980,,ops124@carrier.in,1726.83,TRUE,Economy,FALSE,FALSE,822,67
CAR00125,Porter Technologies,Mysuru,Madhya Pradesh,12804,2018,4.2,ops125@carrier.in,16580.71,FALSE,Next Day,TRUE,TRUE,6295,87
CAR00126,TCI Express,Kochi,Haryana,7236,2003,2.3,ops126@carrier.in,5421.09,FALSE,Economy,TRUE,FALSE,4453,36
CAR00127,Trackon Couriers,Siliguri,Tamil Nadu,8261,1996,1.6,ops127@carrier.in,14209.83,TRUE,Same Day,no,TRUE,15691,89
CAR00128,Safexpress,Jabalpur,Telangana,2851,2006,3.7,ops128@carrier.in,13533.01,TRUE,Economy,TRUE,TRUE,6245,44
CAR00129,Mahindra Logistics,Agra,Odisha,10988,2017,4.8,ops129@carrier.in,9417.77,TRUE,Express,FALSE,FALSE,3389,24
CAR00130,VRL Logistics,Ujjain,Kerala,19910,1990,4.9,ops130@carrier.in,12248.91,FALSE,Express,TRUE,TRUE,12606,63
CAR00131,Shiprocket,Bengaluru,Tamil Nadu,12216,2001,2.6,ops131@carrier.in,5906.41,FALSE,Express,TRUE,FALSE,15810,64
CAR00132,Safexpress,Kochi,Uttar Pradesh,7645,2020,3,ops132@carrier.in,1878.33,TRUE,Standard,TRUE,FALSE,7919,56
CAR00133,DTDC Express,Gwalior,Bihar,16196,1980,2.3,ops133@carrier.in,10492.56,FALSE,Economy,TRUE,FALSE,17737,78
CAR00134,FedEx India,Howrah,Gujarat,2622,2009,1.7,ops134@carrier.in,7924.49,TRUE,Express,TRUE,TRUE,347,49
CAR00135,TVS Supply Chain,Surat,Uttarakhand,13871,1983,3,ops135@carrier.in,763.91,TRUE,Economy,FALSE,FALSE,3323,33
CAR00136,Om Logistics,Rourkela,Rajasthan,2592,2013,4.2,ops136@carrier.in,7637.68,TRUE,Economy,TRUE,FALSE,10657,30
CAR00137,Shiprocket,Ranchi,Goa,10352,2010,2.4,ops137@carrier.in,8093.39,FALSE,Standard,TRUE,FALSE,14547,90
CAR00138,TVS Supply Chain,Rohtak,Rajasthan,17094,2019,2.1,ops138@carrier.in,9511.49,FALSE,Same Day,FALSE,TRUE,11423,58
CAR00139,Redif Logistics,Rishikesh,Tamil Nadu,16930,2021,2.3,ops139@carrier.in,7151.54,FALSE,Standard,TRUE,FALSE,3445,79
CAR00140,Professional Couriers,Coimbatore,Telangana,13279,2020,2.3,ops140@carrier.in,17889.85,FALSE,Same Day,TRUE,TRUE,1575,78
CAR00141,Professional Couriers,Surat,Delhi,15334,1991,2.2,ops141@carrier.in,17183.35,FALSE,Express,FALSE,TRUE,1199,60
CAR00142,Dunzo Daily,Rohtak,Bihar,16921,1982,4.3,ops142@carrier.in,3946.76,TRUE,Express,FALSE,TRUE,6654,49
CAR00143,DHL Express India,Kolkata,Punjab,13364,1997,3.9,ops143@carrier.in,10985.53,FALSE,Express,TRUE,TRUE,7079,88
CAR00144,Ekart Logistics,Jodhpur,Telangana,2188,2000,1.9,ops144@carrier.in,1671.64,N,Next Day,FALSE,TRUE,766,38
CAR00145,DHL Express India,Warangal,Odisha,217,2009,3.4,ops145@carrier.in,7631.35,FALSE,Same Day,yes,TRUE,11654,53
CAR00146,DHL Express India,Jaipur,Maharashtra,5820,1981,2.5,ops146@carrier.in,9379.68,FALSE,Economy,TRUE,FALSE,16510,53
CAR00147,Professional Couriers,Muzaffarpur,Jharkhand,1998,2018,2.6,ops147@carrier.in,3035.82,N,Same Day,TRUE,TRUE,10384,36
CAR00148,Trackon Couriers,Bengaluru,Karnataka,19900,1989,4.8,ops148@carrier.in,7140.11,TRUE,Standard,TRUE,FALSE,15107,56
CAR00149,FedEx India,Karimnagar,West Bengal,4075,2017,2.1,ops149@carrier.in,15061.47,TRUE,Economy,TRUE,TRUE,5120,73
CAR00150,DHL Express India,Udaipur,Telangana,4224,1985,4.1,ops150@carrier.in,15105.19,FALSE,Express,TRUE,TRUE,13467,62
CAR00151,Vulcan Express,Belagavi,Kerala,2875,1987,2.7,ops151@carrier.in,9454.99,TRUE,Express,FALSE,FALSE,6954,51
CAR00152,Amazon Logistics India,Solan,Punjab,17832,1994,2.3,ops152@carrier.in,5831.3,TRUE,Express,FALSE,TRUE,4232,
CAR00153,Speed Post,Meerut,Kerala,15289,2012,2.9,ops153@carrier.in,2519.32,TRUE,Economy,FALSE,TRUE,12538,42
CAR00154,Ecom Express,Faridabad,Goa,10219,2012,2.8,ops154@carrier.in,4071.6,TRUE,Standard,TRUE,TRUE,8180,70
CAR00155,DTDC Express,Ajmer,Punjab,2404,2019,2.2,ops155@carrier.in,--,FALSE,Express,TRUE,FALSE,3953,40
CAR00156,Ekart Logistics,Jaipur,Kerala,16181,2021,1.9,ops156@carrier.in,7300.15,TRUE,Next Day,FALSE,TRUE,6059,66
CAR00157,Amazon Logistics India,Hubli,Kerala,13095,1993,4,ops157@carrier.in,15981.99,TRUE,Economy,FALSE,FALSE,6094,28
CAR00158,TCI Express,Vadodara,Madhya Pradesh,3615,1997,2.9,ops158@carrier.in,8952.63,TRUE,Same Day,TRUE,FALSE,2190,82
CAR00159,Gati Ltd,Karimnagar,Tamil Nadu,4239,1990,2,ops159@carrier.in,4433.27,TRUE,Next Day,TRUE,TRUE,3727,46
CAR00160,Speed Post,Mysuru,Uttarakhand,3611,1989,4.8,ops160@carrier.in,5472.32,FALSE,Standard,TRUE,FALSE,4837,71
CAR00161,FedEx India,Nizamabad,Uttar Pradesh,16705,2011,2.8,ops161@carrier.in,4351.94,TRUE,Same Day,FALSE,TRUE,16309,56
CAR00162,Xpressbees,Jabalpur,Bihar,2093,2009,3.7,ops162@carrier.in,11289.72,FALSE,Standard,TRUE,FALSE,14259,10
CAR00163,Amazon Logistics India,Gandhinagar,Bihar,11541,1992,2.1,ops163@carrier.in,11644.34,TRUE,Same Day,TRUE,TRUE,15228,40
CAR00164,Express Roadways,Berhampur,West Bengal,3569,2012,3.1,ops164@carrier.in,--,FALSE,Next Day,FALSE,TRUE,6798,47
CAR00165,TCI Express,Rohini,Rajasthan,10680,2008,4,ops165@carrier.in,19003.44,FALSE,Express,FALSE,FALSE,13041,
CAR00166,Amazon Logistics India,Dharamshala,Rajasthan,5930,2012,4.2,ops166@carrier.in,10586.33,FALSE,Express,FALSE,TRUE,13441,27
CAR00167,Speed Post,Jorhat,Gujarat,5953,1996,3.3,ops167@carrier.in,6666.86,TRUE,Economy,FALSE,TRUE,10547,66
CAR00168,TVS Supply Chain,Darbhanga,Odisha,5334,2015,4.6,ops168@carrier.in,12276.66,FALSE,Economy,TRUE,TRUE,15525,41
CAR00169,FedEx India,Kannur,Odisha,13535,2021,,ops169@carrier.in,14659.23,TRUE,Economy,TRUE,FALSE,10758,40
CAR00170,Shadowfax Technologies,Coimbatore,Haryana,2307,2022,3.8,ops170@carrier.in,--,FALSE,Economy,TRUE,TRUE,17866,42
CAR00171,Mahindra Logistics,Siliguri,Tamil Nadu,665,1998,2.1,ops171@carrier.in,11081.8,TRUE,Economy,FALSE,FALSE,15225,57
CAR00172,VRL Logistics,Vadodara,West Bengal,6085,1984,4,ops172@carrier.in,undisclosed,FALSE,Next Day,FALSE,TRUE,13260,69
CAR00173,Gati Ltd,Haldwani,Goa,3275,1984,4.7,ops173@carrier.in,Confidential,TRUE,Next Day,FALSE,FALSE,5295,18
CAR00174,DHL Express India,Dharamshala,Odisha,16233,2005,2.9,ops174@carrier.in,9802.85,FALSE,Economy,TRUE,FALSE,16516,74
CAR00175,Shree Maruti Courier,Ujjain,Bihar,7881,1985,3.3,ops175@carrier.in,3396.03,FALSE,Economy,FALSE,FALSE,14512,22
CAR00176,Shiprocket,Jodhpur,Uttarakhand,13403,1997,2.9,ops176@carrier.in,5968.86,FALSE,Economy,FALSE,FALSE,7534,70
CAR00177,Vulcan Express,Gurugram,Jharkhand,17644,1998,3.6,ops177@carrier.in,290.87,FALSE,Express,TRUE,TRUE,4214,40
CAR00178,Safexpress,Mangaluru,Haryana,19799,1999,1.8,ops178@carrier.in,13709.11,FALSE,Economy,FALSE,TRUE,17155,42
CAR00179,Xpressbees,Madurai,Uttar Pradesh,9398,1992,3,ops179@carrier.in,11164.15,TRUE,Standard,TRUE,TRUE,18238,85
CAR00180,Patel Roadways,Panipat,Maharashtra,13797,2000,4.3,ops180@carrier.in,8230.2,FALSE,Express,TRUE,FALSE,10290,62
CAR00181,Blue Dart Express,Lucknow,Assam,19457,1989,1.9,ops181@carrier.in,8495.66,FALSE,Express,FALSE,FALSE,2712,76
CAR00182,TVS Supply Chain,Ajmer,Assam,733,2000,3.7,ops182@carrier.in,10853.46,TRUE,Next Day,FALSE,FALSE,12801,59
CAR00183,TVS Supply Chain,Dehradun,Uttarakhand,5106,1981,2.5,ops183@carrier.in,12347.29,TRUE,Express,TRUE,TRUE,11697,40
