Shipment_ID,Order_ID,Customer_ID,Carrier_ID,Warehouse_ID,Vehicle_ID,Route_ID,Origin_City,Origin_State,Destination_City,Destination_State,Product_Category,Weight_kg,Volume_m3,Dispatch_Date,Expected_Delivery,Actual_Delivery,Freight_Charge_INR,GST_INR,Payment_Mode,Delivery_Status,Is_Delayed,Attempts,POD_Collected
SHP0000017,ORD0000017,CUST000768,CAR006,WH037,VEH02642,RTE003788,Bokaro,Jharkhand,Berhampur,Odisha,Toys & Games,243.78,19.726,2021-08-13 00:00:00,2021-08-25 00:00:00,2021-08-31 00:00:00,3310.37,595.87,COD,Pending Pickup,TRUE,1,FALSE
SHP0000018,ORD0000018,CUST002108,CAR007,WH099,VEH06671,RTE000971,Margao,Goa,Thrissur,Kerala,Toys & Games,455.04,22.659,2022-03-06 00:00:00,2022-03-14 00:00:00,2022-03-14 00:00:00,6565,1181.7,Prepaid,In Transit,FALSE,4,FALSE
SHP0000019,ORD0000019,CUST005035,CAR007,WH068,VEH00362,RTE006242,Aurangabad,Maharashtra,Amritsar,Punjab,Jewellery,126.28,23.141,2023-01-13 00:00:00,2023-01-21 00:00:00,2023-01-25 00:00:00,--,357.1,Prepaid,Out for Delivery,TRUE,2,TRUE
SHP0000020,ORD0000020,CUST004145,CAR008,WH044,VEH00623,RTE003755,Haldwani,Uttarakhand,Amritsar,Punjab,Toys & Games,456.08,18.54,2023-03-09 00:00:00,2023-03-12 00:00:00,2023-03-10 00:00:00,5811.66,1046.1,Net Banking,Pending Pickup,FALSE,2,TRUE
SHP0000021,ORD0000021,CUST004965,CAR004,WH045,VEH03700,RTE005488,Kanpur,Uttar Pradesh,Salem,Tamil Nadu,Cosmetics & Personal Care,1.1,,2024-06-02 00:00:00,2024-06-07 00:00:00,2024-06-05 00:00:00,16.4,2.95,Net Banking,Delivered,FALSE,1,FALSE
SHP0000022,ORD0000022,CUST003227,CAR010,WH015,VEH06669,RTE000520,Haldwani,Uttarakhand,Udaipur,Rajasthan,Office Supplies,96.23,9.992,2022-07-08 00:00:00,2022-07-13 00:00:00,2022-07-11 00:00:00,1191.87,214.54,Credit,Delayed,FALSE,1,FALSE
SHP0000023,ORD0000023,CUST002867,CAR001,WH044,VEH04043,RTE001574,Bhubaneswar,Odisha,Ambala,Haryana,Office Supplies,396.69,22.548,2023-12-15 00:00:00,2023-12-19 00:00:00,2023-12-19 00:00:00,5655.38,1017.97,Credit,Pending Pickup,FALSE,4,TRUE
SHP0000024,ORD0000024,CUST003560,CAR007,WH081,VEH02729,RTE003598,Howrah,West Bengal,Bhopal,Madhya Pradesh,Grocery & FMCG,485.41,17.572,2021-01-27 00:00:00,2021-02-07 00:00:00,2021-02-05 00:00:00,6188.57,1113.94,UPI,In Transit,FALSE,1,TRUE
SHP0000025,ORD0000025,CUST005384,CAR015,WH058,VEH05008,RTE002809,Tezpur,Assam,Jaipur,Rajasthan,Sports & Fitness,378.37,21.924,2022-09-04 00:00:00,2022-09-09 00:00:00,2022-09-08 00:00:00,3890.51,700.29,Credit,Lost,FALSE,3,FALSE
SHP0000026,ORD0000026,CUST004829,CAR011,WH005,VEH00637,RTE003276,Solan,Himachal Pradesh,Jorhat,Assam,Electronics,unknown,6.631,2022-10-13 00:00:00,2022-10-17 00:00:00,2022-10-15 00:00:00,5254.19,945.75,UPI,Delayed,FALSE,3,FALSE
SHP0000027,ORD0000027,CUST005422,CAR013,WH026,VEH03809,RTE006648,Warangal,Telangana,Roorkee,Uttarakhand,Perishables,80.07,19.558,2021-03-28 00:00:00,2021-04-08 00:00:00,2021-04-12 00:00:00,875.08,157.51,UPI,Returned,TRUE,4,TRUE
SHP0000028,ORD0000028,CUST000775,CAR014,WH034,VEH05618,RTE002503,Aurangabad,Maharashtra,Ajmer,Rajasthan,Industrial Goods,283.13,23.086,2023-08-09 00:00:00,2023-08-15 00:00:00,2023-08-13 00:00:00,3439.22,619.06,Net Banking,Pending Pickup,FALSE,4,TRUE
SHP0000029,ORD0000029,CUST006772,CAR001,WH026,VEH02310,RTE004564,Jaipur,Rajasthan,Aurangabad,Maharashtra,Perishables,22.46,2.97,2022-02-24 00:00:00,2022-03-01 00:00:00,2022-02-27 00:00:00,403.85,72.69,Prepaid,In Transit,FALSE,1,FALSE
SHP0000030,ORD0000030,CUST005847,CAR015,WH037,VEH06580,RTE003429,Berhampur,Odisha,Dibrugarh,Assam,Home Appliances,201.24,12.898,2022-12-26 00:00:00,2023-01-05 00:00:00,2023-01-03 00:00:00,1584.9,285.28,Prepaid,Delayed,0,4,TRUE
SHP0000031,ORD0000031,CUST003951,CAR008,WH074,VEH04477,RTE006759,Jalandhar,Punjab,Margao,Goa,Grocery & FMCG,414.08,18.699,2023-02-13 00:00:00,2023-02-21 00:00:00,2023-02-20 00:00:00,3019.34,543.48,UPI,Returned,FALSE,1,FALSE
SHP0000032,ORD0000032,CUST004522,CAR015,WH012,VEH05284,RTE003616,Hyderabad,Telangana,Guwahati,Assam,Furniture,302.55,12.476,2024-11-16 00:00:00,2024-11-25 00:00:00,2024-11-24 00:00:00,4144.13,745.94,Net Banking,Delivered,FALSE,2,TRUE
SHP0000033,ORD0000033,CUST000905,CAR003,WH057,VEH04862,RTE006114,Ahmedabad,Gujarat,Shimla,Himachal Pradesh,Home Appliances,381.95,4.184,2023-10-05 00:00:00,2023-10-13 00:00:00,2023-10-11 00:00:00,4373.55,787.24,COD,Delayed,FALSE,3,TRUE
SHP0000034,ORD0000034,CUST006271,CAR008,WH010,VEH00306,RTE006247,Lucknow,Uttar Pradesh,Solan,Himachal Pradesh,Industrial Goods,162.96,11.071,2022-09-05 00:00:00,2022-09-08 00:00:00,2022-09-07 00:00:00,2889.39,520.09,Net Banking,Pending Pickup,FALSE,1,Y
SHP0000035,ORD0000035,CUST002997,CAR011,WH085,VEH04917,RTE000922,Ludhiana,Punjab,Cuttack,Odisha,Home Appliances,374.45,6.487,2023-11-10 00:00:00,2023-11-20 00:00:00,2023-11-20 00:00:00,3758.84,676.59,Wallet,Lost,FALSE,3,FALSE
SHP0000036,ORD0000036,CUST002115,CAR008,WH007,VEH01458,RTE002160,Trichy,Tamil Nadu,Gaya,Bihar,Industrial Goods,16.56,20.937,2021-01-30 00:00:00,2021-02-06 00:00:00,2021-02-07 00:00:00,84.2,15.16,COD,Pending Pickup,TRUE,4,TRUE
SHP0000037,ORD0000037,CUST005536,CAR013,WH007,VEH01632,RTE006779,Hubli,Karnataka,Thiruvananthapuram,Kerala,Office Supplies,347.3,15.625,2024-03-19 00:00:00,2024-03-25 00:00:00,2024-03-23 00:00:00,3692.43,664.64,UPI,In Transit,FALSE,4,TRUE
SHP0000038,ORD0000038,CUST006145,CAR003,WH030,VEH04612,RTE001816,Muzaffarpur,Bihar,Howrah,West Bengal,Home Appliances,122.63,18.603,2022-10-22 00:00:00,2022-10-30 00:00:00,2022-11-04 00:00:00,753.97,135.71,Net Banking,Delayed,TRUE,4,FALSE
SHP0000039,ORD0000039,CUST004526,CAR015,WH084,VEH06437,RTE003383,Chennai,Tamil Nadu,Warangal,Telangana,Electronics,210.45,2.331,2023-10-18 00:00:00,2023-10-20 00:00:00,2023-10-20 00:00:00,1589.24,286.06,Net Banking,Returned,FALSE,1,TRUE
SHP0000040,ORD0000040,CUST005724,CAR013,WH081,VEH06720,RTE002265,Rohtak,Haryana,Ambala,Haryana,Office Supplies,161.04,18.017,2024-08-04 00:00:00,2024-08-10 00:00:00,2024-08-10 00:00:00,2254.07,405.73,Wallet,Lost,FALSE,3,TRUE
SHP0000041,ORD0000041,CUST001541,CAR011,WH044,VEH01811,RTE004361,Faridabad,Haryana,Margao,Goa,Pharmaceuticals,--,12.08,2024-08-01 00:00:00,2024-08-08 00:00:00,2024-08-07 00:00:00,6253.82,1125.69,Net Banking,Lost,FALSE,4,FALSE
SHP0000042,ORD0000042,CUST003146,CAR004,WH064,VEH03349,RTE004706,Panaji,Goa,Patiala,Punjab,Sports & Fitness,320.01,2.008,2022-04-02 00:00:00,2022-04-14 00:00:00,2022-04-15 00:00:00,4265.28,767.75,Net Banking,Out for Delivery,TRUE,3,FALSE
SHP0000043,ORD0000043,CUST006580,CAR007,WH081,VEH00141,RTE001894,Hyderabad,Telangana,Thrissur,Kerala,Apparel & Fashion,,20.013,2024-03-19 00:00:00,2024-03-24 00:00:00,2024-03-22 00:00:00,2555.23,459.94,Credit,Out for Delivery,FALSE,2,TRUE
SHP0000044,ORD0000044,CUST000711,CAR006,WH006,VEH05740,RTE003074,Gurugram,Delhi,Muzaffarpur,Bihar,Automotive Parts,483.09,4.481,2022-05-30 00:00:00,2022-06-03 00:00:00,2022-06-01 00:00:00,2672.37,481.03,Prepaid,Lost,FALSE,2,TRUE
SHP0000045,ORD0000045,CUST006066,CAR012,WH043,VEH02525,RTE000684,Dibrugarh,Assam,Jabalpur,Madhya Pradesh,Home Appliances,262.39,23.101,2024-10-18 00:00:00,2024-10-27 00:00:00,2024-10-26 00:00:00,2363.14,425.37,Credit,Pending Pickup,FALSE,1,FALSE
SHP0000046,ORD0000046,CUST006399,CAR008,WH069,VEH05254,RTE003777,Haridwar,Uttarakhand,Noida,Delhi,Pharmaceuticals,464.41,10.749,2021-02-08 00:00:00,2021-02-19 00:00:00,2021-02-25 00:00:00,8238.39,1482.91,Credit,Cancelled,TRUE,4,FALSE
SHP0000047,ORD0000047,CUST000565,CAR007,WH030,VEH02299,RTE002579,Madurai,Tamil Nadu,Siliguri,West Bengal,Jewellery,119.08,20.266,2022-11-21 00:00:00,2022-12-02 00:00:00,2022-12-01 00:00:00,1374.12,247.34,Wallet,Lost,FALSE,3,TRUE
SHP0000048,ORD0000048,CUST002589,CAR002,WH084,VEH03972,RTE004899,Muzaffarpur,Bihar,Jamshedpur,Jharkhand,Electronics,439.3,16.149,2024-04-12 00:00:00,2024-04-13 00:00:00,2024-04-11 00:00:00,2244.14,403.95,Prepaid,Delivered,FALSE,3,FALSE
SHP0000049,ORD0000049,CUST001977,CAR005,WH029,VEH00147,RTE000092,Belagavi,Karnataka,Madurai,Tamil Nadu,Books & Stationery,160.19,22.599,2024-07-10 00:00:00,2024-07-13 00:00:00,2024-07-12 00:00:00,2772.1,498.98,Net Banking,Delivered,FALSE,4,no
SHP0000050,ORD0000050,CUST004569,CAR008,WH083,VEH03802,RTE004101,Dehradun,Uttarakhand,Sambalpur,Odisha,Toys & Games,89.29,0.383,2024-01-29 00:00:00,2024-02-08 00:00:00,2024-02-07 00:00:00,1479.51,266.31,UPI,Pending Pickup,FALSE,2,FALSE
SHP0000051,ORD0000051,CUST001806,CAR012,WH040,VEH05952,RTE004203,Ujjain,Madhya Pradesh,Bhubaneswar,Odisha,Jewellery,207.09,20.199,2021-04-03 00:00:00,2021-04-13 00:00:00,2021-04-12 00:00:00,1074.58,193.42,Credit,Returned,FALSE,4,TRUE
SHP0000052,ORD0000052,CUST001824,CAR007,WH076,VEH06166,RTE005136,Mapusa,Goa,Khammam,Telangana,Pharmaceuticals,493.78,2.792,2021-10-15 00:00:00,2021-10-16 00:00:00,2021-10-15 00:00:00,5035.78,906.44,UPI,Returned,FALSE,1,FALSE
SHP0000053,ORD0000053,CUST003096,CAR007,WH036,VEH05161,RTE003912,Rohtak,Haryana,Shimla,Himachal Pradesh,Pharmaceuticals,277.26,19.487,2024-09-09 00:00:00,2024-09-13 00:00:00,2024-09-13 00:00:00,--,341.49,Wallet,In Transit,FALSE,4,TRUE
SHP0000054,ORD0000054,CUST003184,CAR006,WH032,VEH00156,RTE005650,Solan,Himachal Pradesh,Patna,Bihar,Industrial Goods,182.59,15.735,2023-06-05 00:00:00,2023-06-10 00:00:00,2023-06-12 00:00:00,2418.79,435.38,Net Banking,Returned,TRUE,3,TRUE
SHP0000055,ORD0000055,CUST006241,CAR012,WH081,VEH03437,RTE000107,Varanasi,Uttar Pradesh,Shimla,Himachal Pradesh,Cosmetics & Personal Care,271.92,8.976,2021-01-03 00:00:00,2021-01-12 00:00:00,,4748.33,854.7,Prepaid,Out for Delivery,TRUE,2,FALSE
SHP0000056,ORD0000056,CUST005238,CAR013,WH063,VEH03549,RTE000488,Bengaluru,Karnataka,Pune,Maharashtra,Toys & Games,334.6,5.65,2021-12-12 00:00:00,2021-12-23 00:00:00,2021-12-21 00:00:00,4503.6,810.65,UPI,Out for Delivery,FALSE,3,FALSE
SHP0000057,ORD0000057,CUST006336,CAR012,WH037,VEH00420,RTE001275,Rohini,Delhi,Udaipur,Rajasthan,Cosmetics & Personal Care,60.15,0.264,2024-06-17 00:00:00,2024-06-18 00:00:00,2024-06-18 00:00:00,747.34,134.52,Wallet,Delayed,FALSE,3,TRUE
SHP0000058,ORD0000058,CUST002504,CAR008,WH063,VEH05959,RTE003021,Howrah,West Bengal,Ranchi,Jharkhand,Perishables,262.89,8.971,2022-05-29 00:00:00,2022-06-09 00:00:00,2022-06-08 00:00:00,2178.04,392.05,Net Banking,Returned,FALSE,2,TRUE
SHP0000059,ORD0000059,CUST002334,CAR011,WH048,VEH02940,RTE000883,Bhopal,Madhya Pradesh,Jaipur,Rajasthan,Industrial Goods,275.9,4.702,2022-07-08 00:00:00,2022-07-13 00:00:00,2022-07-19 00:00:00,4484.35,807.18,Prepaid,Pending Pickup,TRUE,1,FALSE
SHP0000060,ORD0000060,CUST004836,CAR002,WH008,VEH04039,RTE004325,Mangaluru,Karnataka,Gwalior,Madhya Pradesh,Books & Stationery,6.85,2.067,2021-10-29 00:00:00,2021-11-01 00:00:00,2021-10-30 00:00:00,94.43,17,UPI,In Transit,FALSE,3,TRUE
SHP0000061,ORD0000061,CUST001612,CAR007,WH055,VEH05053,RTE004554,Siliguri,West Bengal,Ponda,Goa,Office Supplies,349.53,,2024-08-25 00:00:00,2024-08-30 00:00:00,2024-08-28 00:00:00,2317.31,417.12,COD,Delivered,FALSE,2,TRUE
SHP0000062,ORD0000062,CUST002317,CAR005,WH027,VEH03115,RTE001402,Chennai,Tamil Nadu,Dhanbad,Jharkhand,Sports & Fitness,0.13,6.414,2021-04-01 00:00:00,2021-04-09 00:00:00,2021-04-08 00:00:00,2.25,0.4,COD,Lost,FALSE,4,TRUE
SHP0000063,ORD0000063,CUST003821,CAR001,WH052,VEH02632,RTE004571,Darbhanga,Bihar,Meerut,Uttar Pradesh,Jewellery,166.16,5.257,2022-04-23 00:00:00,2022-05-03 00:00:00,2022-05-05 00:00:00,2188.49,393.93,Prepaid,Pending Pickup,TRUE,3,TRUE
SHP0000064,ORD0000064,CUST005742,CAR015,WH072,VEH01049,RTE000909,Karimnagar,Telangana,Mandi,Himachal Pradesh,Industrial Goods,97.64,12.179,2021-07-04 00:00:00,2021-07-11 00:00:00,2021-07-10 00:00:00,743.34,133.8,Credit,Returned,FALSE,1,FALSE
SHP0000065,ORD0000065,CUST002310,CAR003,WH044,VEH03872,RTE003232,Dibrugarh,Assam,Rajkot,Gujarat,Apparel & Fashion,269.09,20.434,2022-12-26 00:00:00,2022-12-27 00:00:00,2023-01-01 00:00:00,4593.76,826.88,Wallet,In Transit,TRUE,2,TRUE
SHP0000066,ORD0000066,CUST001874,CAR003,WH027,VEH01686,RTE000371,Ambala,Haryana,Ahmedabad,Gujarat,Grocery & FMCG,273.12,21.452,2023-12-23 00:00:00,2024-01-03 00:00:00,2024-01-02 00:00:00,4683.03,842.95,Prepaid,Pending Pickup,FALSE,3,TRUE
SHP0000067,ORD0000067,CUST000430,CAR007,WH073,VEH04732,RTE001370,Udaipur,Rajasthan,Ludhiana,Punjab,Jewellery,198.71,7.256,2024-05-14 00:00:00,2024-05-15 00:00:00,2024-05-16 00:00:00,1425.29,256.55,Credit,Delayed,TRUE,1,FALSE
SHP0000068,ORD0000068,CUST001907,CAR002,WH080,VEH06464,RTE006159,Rohtak,Haryana,Rohini,Delhi,Office Supplies,261.99,21.173,2021-10-14 00:00:00,2021-10-26 00:00:00,2021-10-26 00:00:00,4486.13,807.5,Prepaid,Out for Delivery,FALSE,1,FALSE
SHP0000069,ORD0000069,CUST002413,CAR012,WH089,VEH06507,RTE002670,Gurugram,Haryana,Bengaluru,Karnataka,Toys & Games,239.58,20.751,2022-11-12 00:00:00,2022-11-13 00:00:00,2022-11-11 00:00:00,3472.62,625.07,Credit,In Transit,FALSE,4,Y
SHP0000070,ORD0000070,CUST005268,CAR011,WH024,VEH04567,RTE002047,Lucknow,Uttar Pradesh,Bhopal,Madhya Pradesh,Toys & Games,80.21,9.497,2023-12-03 00:00:00,2023-12-13 00:00:00,2023-12-12 00:00:00,596.56,107.38,COD,Lost,FALSE,1,FALSE
SHP0000071,ORD0000071,CUST001161,CAR012,WH065,VEH02018,RTE001932,Nizamabad,Telangana,Rajkot,Gujarat,Grocery & FMCG,362.31,23.314,2022-07-29 00:00:00,2022-08-03 00:00:00,2022-08-01 00:00:00,5926.85,1066.83,Credit,Returned,FALSE,1,TRUE
SHP0000072,ORD0000072,CUST003525,CAR003,WH052,VEH00579,RTE002148,Belagavi,Karnataka,Panipat,Haryana,Toys & Games,423.52,7.511,2024-06-04 00:00:00,2024-06-05 00:00:00,2024-06-04 00:00:00,#ERROR,1319.88,Credit,Returned,FALSE,4,FALSE
SHP0000073,ORD0000073,CUST003815,CAR014,WH093,VEH05988,RTE002388,Vasco,Goa,Tezpur,Assam,Industrial Goods,,1.541,2021-02-05 00:00:00,2021-02-15 00:00:00,2021-02-15 00:00:00,649.95,116.99,Net Banking,Delivered,FALSE,2,TRUE
SHP0000074,ORD0000074,CUST004484,CAR004,WH027,VEH00783,RTE000566,Jaipur,Rajasthan,Muzaffarpur,Bihar,Jewellery,unknown,15.101,2023-08-18 00:00:00,2023-08-20 00:00:00,2023-08-23 00:00:00,4120.68,741.72,Prepaid,Pending Pickup,TRUE,3,TRUE
SHP0000075,ORD0000075,CUST006121,CAR005,WH049,VEH01308,RTE006331,Haldwani,Uttarakhand,Kota,Rajasthan,Pharmaceuticals,499.28,9.989,2022-01-27 00:00:00,2022-02-03 00:00:00,2022-02-03 00:00:00,4345.59,782.21,COD,Returned,FALSE,1,TRUE
SHP0000076,ORD0000076,CUST006361,CAR014,WH075,VEH05993,RTE000938,Durgapur,West Bengal,Jorhat,Assam,Books & Stationery,5.14,9.799,2022-10-02 00:00:00,2022-10-14 00:00:00,2022-10-14 00:00:00,51.59,9.29,UPI,In Transit,FALSE,4,FALSE
SHP0000077,ORD0000077,CUST002198,CAR015,WH084,VEH02665,RTE000010,Jodhpur,Rajasthan,Aurangabad,Maharashtra,Automotive Parts,35.35,7.134,2021-11-11 00:00:00,2021-11-17 00:00:00,2021-11-15 00:00:00,368.92,66.41,Prepaid,Out for Delivery,FALSE,2,FALSE
SHP0000078,ORD0000078,CUST006655,CAR010,WH088,VEH04855,RTE001407,Silchar,Assam,Surat,Gujarat,Sports & Fitness,492.52,23.978,2021-03-25 00:00:00,2021-04-02 00:00:00,2021-03-31 00:00:00,6610.78,1189.94,COD,Cancelled,FALSE,4,FALSE
SHP0000079,ORD0000079,CUST002795,CAR012,WH030,VEH04125,RTE001431,Darbhanga,Bihar,Kanpur,Uttar Pradesh,Cosmetics & Personal Care,271.24,1.522,2022-04-11 00:00:00,2022-04-15 00:00:00,2022-04-14 00:00:00,4063.57,731.44,UPI,In Transit,FALSE,2,FALSE
SHP0000080,ORD0000080,CUST006565,CAR005,WH033,VEH01301,RTE000274,Hyderabad,Telangana,Jaipur,Rajasthan,Office Supplies,449.83,0.915,2021-07-17 00:00:00,2021-07-25 00:00:00,2021-07-28 00:00:00,5823.33,1048.2,Net Banking,Delivered,TRUE,1,TRUE
SHP0000081,ORD0000081,CUST003242,CAR014,WH087,VEH01141,RTE000603,Haldwani,Uttarakhand,Indore,Madhya Pradesh,Perishables,212.11,4.922,2024-02-29 00:00:00,2024-03-07 00:00:00,2024-03-07 00:00:00,2255.89,406.06,Net Banking,Lost,FALSE,3,FALSE
SHP0000082,ORD0000082,CUST003558,CAR015,WH011,VEH06687,RTE001834,Howrah,West Bengal,Ujjain,Madhya Pradesh,Furniture,369,24.485,2023-06-21 00:00:00,2023-06-24 00:00:00,2023-06-23 00:00:00,5006.77,901.22,Wallet,Out for Delivery,FALSE,2,TRUE
SHP0000083,ORD0000083,CUST005996,CAR006,WH009,VEH00701,RTE004611,Jalandhar,Punjab,Belagavi,Karnataka,Perishables,469.77,24.545,2024-09-23 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,4729.79,851.36,Wallet,Cancelled,TRUE,2,TRUE
SHP0000084,ORD0000084,CUST000529,CAR012,WH047,VEH04223,RTE001103,Gurugram,Delhi,Udaipur,Rajasthan,Grocery & FMCG,102.61,7.672,2023-07-31 00:00:00,2023-08-03 00:00:00,2023-08-01 00:00:00,1352.86,243.51,COD,In Transit,FALSE,3,FALSE
SHP0000085,ORD0000085,CUST000893,CAR008,WH018,VEH05787,RTE000586,Kolkata,West Bengal,Siliguri,West Bengal,Office Supplies,353.83,18.027,2023-08-23 00:00:00,2023-08-30 00:00:00,2023-09-01 00:00:00,6033.14,1085.97,Prepaid,Returned,TRUE,2,FALSE
SHP0000086,ORD0000086,CUST006287,CAR003,WH046,VEH04898,RTE003369,Noida,Delhi,Lucknow,Uttar Pradesh,Toys & Games,233.74,4.08,2022-08-09 00:00:00,2022-08-16 00:00:00,2022-08-15 00:00:00,2342.83,421.71,Prepaid,Pending Pickup,FALSE,1,FALSE
SHP0000087,ORD0000087,CUST002696,CAR005,WH054,VEH04391,RTE000204,Patiala,Punjab,Rourkela,Odisha,Perishables,472.39,0.66,2023-12-27 00:00:00,2024-01-08 00:00:00,2024-01-09 00:00:00,5517.37,993.13,Credit,In Transit,TRUE,1,FALSE
SHP0000088,ORD0000088,CUST002869,CAR012,WH035,VEH03678,RTE005179,Patna,Bihar,Mangaluru,Karnataka,Grocery & FMCG,195.85,16.812,2023-06-14 00:00:00,2023-06-26 00:00:00,2023-06-26 00:00:00,2785.05,501.31,Net Banking,Delivered,FALSE,3,FALSE
SHP0000089,ORD0000089,CUST003269,CAR005,WH013,VEH06477,RTE004699,Khammam,Telangana,Howrah,West Bengal,Sports & Fitness,56.51,14.722,2023-08-01 00:00:00,2023-08-04 00:00:00,2023-08-02 00:00:00,286.05,51.49,COD,Cancelled,FALSE,4,FALSE
SHP0000090,ORD0000090,CUST004607,CAR010,WH084,VEH00070,RTE001144,Mysuru,Karnataka,Rajkot,Gujarat,Furniture,134.63,0.947,2023-01-13 00:00:00,2023-01-16 00:00:00,2023-01-16 00:00:00,2052.2,369.4,Prepaid,Lost,FALSE,1,FALSE
