Vehicle_ID,Carrier_ID,Vehicle_Type,Registration_No,Model,Manufacture_Year,Fuel_Type,Max_Payload_tons,Mileage_kmpl,Odometer_km,Last_Service_Date,Next_Service_Due,GPS_Enabled,Insurance_Expiry,Operational_State,Driver_ID,Is_Active
VEH00011,CAR011,Container Truck,KL27XY6603,Ashok Leyland DOST,2011,LNG,14.85,12.3,87136,,2022-10-26 00:00:00,TRUE,2022-07-15 00:00:00,Kerala,DRV02514,FALSE
VEH00012,CAR006,Medium Truck,UK70XY7619,Ashok Leyland DOST,2023,CNG,23.95,14.3,369181,2023-10-22 00:00:00,2022-06-10 00:00:00,FALSE,2022-12-02 00:00:00,Uttarakhand,DRV02462,TRUE
VEH00013,CAR010,Heavy Truck,UK47CD1390,Piaggio Ape,2014,Diesel,11.24,15.8,257138,2023-08-11 00:00:00,2023-11-22 00:00:00,FALSE,2022-02-17 00:00:00,Uttarakhand,DRV00354,TRUE
VEH00014,CAR012,Tempo,MH58CD5347,TATA 407,2009,Electric,0.72,25,388856,,2022-11-30 00:00:00,FALSE,2021-05-10 00:00:00,Maharashtra,DRV04001,FALSE
VEH00015,CAR003,Medium Truck,RJ72XY7099,TATA 407,2016,Electric,10.88,21.2,,2023-11-03 00:00:00,2024-10-27 00:00:00,FALSE,2023-06-06 00:00:00,Rajasthan,DRV03696,no
VEH00016,CAR014,Pickup Van,TN55EF1311,Tata LPT 1613,2019,Electric,13.94,13.7,44936,,2024-06-03 00:00:00,TRUE,2025-07-26 00:00:00,Tamil Nadu,DRV02289,FALSE
VEH00017,CAR010,Mini Truck,HR45XY3117,Bajaj RE,2019,Electric,2.16,21.4,355191,2022-11-18 00:00:00,2024-07-07 00:00:00,FALSE,2024-09-16 00:00:00,Haryana,DRV01104,FALSE
VEH00018,CAR008,Light Commercial Vehicle,BR70EF3390,Piaggio Ape,2008,Diesel,15.42,23.8,,2024-03-14 00:00:00,2023-10-28 00:00:00,TRUE,2025-09-05 00:00:00,Bihar,DRV03661,Inactive
VEH00019,CAR004,3-Wheeler,KA75XY2862,Force Traveller,2023,Petrol,28.29,19,358723,2023-08-10 00:00:00,2022-09-26 00:00:00,TRUE,2025-08-18 00:00:00,Karnataka,DRV01721,FALSE
VEH00020,CAR015,Light Commercial Vehicle,GA22PQ7213,Mahindra Bolero Pickup,--,Diesel,6.92,6.9,393466,2023-03-05 00:00:00,2023-06-02 00:00:00,TRUE,2021-06-11 00:00:00,Goa,DRV02011,TRUE
VEH00021,CAR013,2-Wheeler,MH53CD2094,Mahindra Bolero Pickup,2018,CNG,--,13.3,177551,2023-07-29 00:00:00,2022-02-22 00:00:00,FALSE,2026-06-30 00:00:00,Maharashtra,DRV01299,FALSE
VEH00022,CAR010,Mini Truck,RJ61AB7044,TATA 407,2010,LNG,3.2,10.8,235990,2022-02-15 00:00:00,2022-12-21 00:00:00,FALSE,2023-01-12 00:00:00,Rajasthan,DRV01780,TRUE
VEH00023,CAR004,Pickup Van,TN43PQ3817,Tata Ace,2024,Petrol,8,23.6,475841,2024-05-24 00:00:00,2023-12-21 00:00:00,FALSE,2026-05-09 00:00:00,Tamil Nadu,DRV04876,TRUE
VEH00024,CAR003,Tempo,HR36CD9034,Piaggio Ape,2010,LNG,20.28,7.8,336216,,2023-01-31 00:00:00,TRUE,2026-08-11 00:00:00,Haryana,DRV00945,FALSE
VEH00025,CAR006,Refrigerated Truck,HP65PQ3496,BharatBenz 1415,2014,Diesel,0.25,19.7,106367,2022-03-19 00:00:00,2024-01-13 00:00:00,TRUE,2025-10-24 00:00:00,Himachal Pradesh,DRV01460,TRUE
VEH00026,CAR005,Tempo,WB50AB8324,Eicher Pro 2049,2011,Diesel,18.6,23.2,408593,2023-08-08 00:00:00,2024-04-20 00:00:00,TRUE,2023-06-08 00:00:00,West Bengal,DRV02907,no
VEH00027,CAR004,Light Commercial Vehicle,BR23PQ8733,Eicher Pro 2049,2013,Diesel,27.32,11,165099,2023-04-16 00:00:00,2025-06-20 00:00:00,TRUE,2025-01-14 00:00:00,Bihar,DRV02177,TRUE
VEH00028,CAR007,2-Wheeler,MP57AB8576,Tata Ace,2009,Diesel,19.36,15.2,397755,2023-01-19 00:00:00,2022-10-25 00:00:00,TRUE,2025-03-26 00:00:00,Madhya Pradesh,DRV00033,TRUE
VEH00029,CAR007,Container Truck,GJ32XY1655,TVS King,2010,Diesel,23.68,20.9,276470,2024-04-19 00:00:00,2021-11-05 00:00:00,FALSE,2021-02-13 00:00:00,Gujarat,DRV01203,FALSE
VEH00030,CAR015,Pickup Van,TS42PQ4592,Ashok Leyland DOST,2012,Electric,19.33,6.7,334187,2024-07-15 00:00:00,2024-04-23 00:00:00,FALSE,2023-08-30 00:00:00,Telangana,DRV00726,TRUE
VEH00031,CAR014,Medium Truck,UP52PQ5190,TATA 407,2015,CNG,9.2,19.2,435122,2023-07-08 00:00:00,2021-11-27 00:00:00,FALSE,2025-09-24 00:00:00,Uttar Pradesh,DRV00537,FALSE
VEH00032,CAR007,Tempo,OD70AB2130,TATA 407,2009,Diesel,17.67,5.9,216040,2024-08-20 00:00:00,2021-11-26 00:00:00,TRUE,2024-02-16 00:00:00,Odisha,DRV04466,TRUE
VEH00033,CAR011,3-Wheeler,GA69PQ2234,TATA 407,2024,Petrol,26.86,19.3,193914,2021-11-18 00:00:00,2024-02-10 00:00:00,FALSE,2025-08-15 00:00:00,Goa,DRV03556,TRUE
VEH00034,CAR008,Heavy Truck,RJ47AB7432,Tata LPT 1613,2009,Petrol,15.27,16.5,61367,2024-01-14 00:00:00,2022-03-01 00:00:00,FALSE,2021-12-14 00:00:00,Rajasthan,DRV00179,FALSE
VEH00035,CAR010,Tempo,MH18PQ9599,TATA 407,2017,Petrol,28.36,13,365501,2021-04-28 00:00:00,2022-08-24 00:00:00,TRUE,2025-05-22 00:00:00,Maharashtra,DRV03495,FALSE
VEH00036,CAR011,3-Wheeler,MP46CD3809,Eicher Pro 2049,2019,LNG,15.6,11.3,96171,2023-09-17 00:00:00,2024-10-22 00:00:00,FALSE,2024-05-28 00:00:00,Madhya Pradesh,DRV03698,TRUE
VEH00037,CAR004,Tempo,HR52EF8261,Hero Splendor,2008,Electric,26.43,9,56895,2021-01-10 00:00:00,2022-01-10 00:00:00,TRUE,2025-11-20 00:00:00,Haryana,DRV02649,FALSE
VEH00038,CAR012,Heavy Truck,BR13XY3881,Yulu Miracle,2023,Petrol,22.54,4.1,330430,2021-02-21 00:00:00,2025-05-30 00:00:00,1,2021-06-04 00:00:00,Bihar,DRV00770,TRUE
VEH00039,CAR010,Medium Truck,WB34EF6085,Euler HiLoad,2015,Petrol,19.17,4.2,144305,2023-04-29 00:00:00,2023-11-11 00:00:00,TRUE,2023-01-10 00:00:00,West Bengal,DRV03905,TRUE
VEH00040,CAR008,Medium Truck,HP64EF7832,Ashok Leyland DOST,2017,CNG,16.1,18.1,146974,2021-09-14 00:00:00,2025-12-24 00:00:00,TRUE,2023-10-25 00:00:00,Himachal Pradesh,DRV03634,TRUE
VEH00041,CAR009,Medium Truck,KL98XY1274,Force Traveller,2012,Diesel,29.79,17.6,231095,2023-12-17 00:00:00,2021-09-19 00:00:00,TRUE,2023-11-08 00:00:00,Kerala,DRV03918,no
VEH00042,CAR004,Heavy Truck,TS84EF7844,Force Traveller,2019,CNG,1.42,,227781,2021-11-02 00:00:00,2023-06-01 00:00:00,FALSE,2021-09-24 00:00:00,Telangana,DRV03125,TRUE
VEH00043,CAR010,2-Wheeler,JH52XY1641,Eicher Pro 2049,2022,Petrol,25.79,6.9,183222,2024-08-15 00:00:00,2023-09-20 00:00:00,FALSE,2022-03-23 00:00:00,Jharkhand,DRV04370,Inactive
VEH00044,CAR008,Pickup Van,BR83XY5126,Maruti Super Carry,2015,CNG,9.52,15.6,37407,2022-07-20 00:00:00,2022-10-12 00:00:00,FALSE,2024-08-05 00:00:00,Bihar,DRV01973,TRUE
VEH00045,CAR011,Refrigerated Truck,WB52CD5253,Mahindra Bolero Pickup,2023,LNG,11.2,20.1,408523,2024-01-13 00:00:00,2022-05-15 00:00:00,FALSE,2026-04-24 00:00:00,West Bengal,DRV01506,FALSE
VEH00046,CAR001,Container Truck,RJ82AB2108,Yulu Miracle,2022,LNG,23.63,22.4,324173,2023-03-08 00:00:00,2023-05-08 00:00:00,FALSE,2025-05-19 00:00:00,Rajasthan,DRV04929,FALSE
VEH00047,CAR014,Container Truck,WB73CD8924,Piaggio Ape,2023,CNG,9.19,13.1,48160,,2022-02-06 00:00:00,TRUE,2024-08-27 00:00:00,West Bengal,DRV01272,TRUE
VEH00048,CAR006,3-Wheeler,HR28EF2317,Hero Splendor,2018,CNG,?,13.3,437965,2021-12-05 00:00:00,2023-08-14 00:00:00,FALSE,2021-07-28 00:00:00,Haryana,DRV03332,TRUE
VEH00049,CAR015,Container Truck,PB44AB8069,Tata Ace,2008,CNG,21.46,3.5,2643,2023-11-18 00:00:00,2024-03-12 00:00:00,TRUE,2026-03-01 00:00:00,Punjab,DRV01687,TRUE
VEH00050,CAR008,Container Truck,TN13XY6961,Mahindra Bolero Pickup,2019,Electric,27.01,12.4,326677,2024-06-28 00:00:00,2024-01-10 00:00:00,FALSE,2026-05-06 00:00:00,Tamil Nadu,DRV02519,FALSE
VEH00051,CAR012,Mini Truck,MP63CD6804,Tata LPT 1613,2023,Petrol,11.02,25,1955,2022-11-13 00:00:00,2024-08-23 00:00:00,1,2021-12-18 00:00:00,Madhya Pradesh,DRV01423,TRUE
VEH00052,CAR004,Heavy Truck,JH46AB9385,Bajaj RE,2009,Petrol,9.63,18.1,182272,2021-09-13 00:00:00,2025-04-29 00:00:00,TRUE,2022-03-16 00:00:00,Jharkhand,DRV01632,FALSE
VEH00053,CAR008,3-Wheeler,RJ71CD3629,Bajaj RE,2023,Electric,10.82,4.4,35099,2021-09-28 00:00:00,2021-06-20 00:00:00,TRUE,2024-03-19 00:00:00,Rajasthan,DRV01110,TRUE
VEH00054,CAR009,Pickup Van,KA37CD6238,Hero Splendor,2010,Electric,20.61,24.9,42166,2023-06-26 00:00:00,2021-11-29 00:00:00,FALSE,2021-08-05 00:00:00,Karnataka,DRV00932,no
VEH00055,CAR003,3-Wheeler,KA28EF1702,BharatBenz 1415,2010,CNG,10.52,4.5,135675,2023-03-18 00:00:00,2025-11-21 00:00:00,TRUE,2026-11-08 00:00:00,Karnataka,DRV02610,TRUE
VEH00056,CAR011,Pickup Van,GJ53AB8211,Hero Splendor,2012,Electric,18.24,17.5,436109,2024-06-23 00:00:00,2023-02-20 00:00:00,TRUE,2023-11-16 00:00:00,Gujarat,DRV02201,TRUE
VEH00057,CAR013,Heavy Truck,OD61AB5578,Tata Ace,2021,Diesel,1.15,22.9,20708,2023-08-17 00:00:00,2024-12-04 00:00:00,TRUE,2026-01-10 00:00:00,Odisha,DRV00397,FALSE
VEH00058,CAR015,Pickup Van,MP23EF5723,Yulu Miracle,2020,Electric,11.45,,107864,2022-08-15 00:00:00,2025-02-15 00:00:00,FALSE,2024-08-08 00:00:00,Madhya Pradesh,DRV01057,FALSE
VEH00059,CAR003,Tempo,OD46EF9096,Force Traveller,2020,CNG,7.66,6.1,229688,2022-07-16 00:00:00,2022-01-28 00:00:00,FALSE,2024-09-05 00:00:00,Odisha,DRV02694,TRUE
VEH00060,CAR011,Refrigerated Truck,UK77EF9511,Hero Splendor,2014,Diesel,12.5,4.7,,2023-01-28 00:00:00,2025-10-23 00:00:00,FALSE,2025-05-19 00:00:00,Uttarakhand,DRV03520,FALSE
VEH00061,CAR011,3-Wheeler,PB58EF7918,Euler HiLoad,2015,Electric,1.12,15.6,454901,2024-03-30 00:00:00,2023-05-08 00:00:00,TRUE,2022-04-09 00:00:00,Punjab,DRV04157,FALSE
VEH00062,CAR007,Light Commercial Vehicle,TN22EF7322,Force Traveller,2023,Diesel,25.29,23.9,130400,2022-10-13 00:00:00,2024-08-06 00:00:00,TRUE,2021-10-02 00:00:00,Tamil Nadu,DRV02833,FALSE
VEH00063,CAR015,Pickup Van,KL98CD5318,Ashok Leyland DOST,2009,CNG,4,11.9,213643,2023-04-28 00:00:00,2025-07-18 00:00:00,FALSE,2022-09-07 00:00:00,Kerala,DRV03121,FALSE
VEH00064,CAR006,Heavy Truck,DL72AB8982,Eicher Pro 2049,2015,Electric,14.06,11.3,362481,2024-03-17 00:00:00,2024-03-02 00:00:00,FALSE,2025-04-12 00:00:00,Delhi,DRV02953,FALSE
VEH00065,CAR008,Refrigerated Truck,RJ59AB3791,Piaggio Ape,2019,Diesel,0.28,8.4,457930,2023-10-12 00:00:00,2025-02-04 00:00:00,FALSE,2022-02-27 00:00:00,Rajasthan,DRV01087,FALSE
VEH00066,CAR011,Heavy Truck,TS71PQ2302,Tata Ace,2020,Diesel,2.91,13.6,201447,2022-10-05 00:00:00,2024-10-06 00:00:00,FALSE,2026-09-27 00:00:00,Telangana,DRV03047,TRUE
VEH00067,CAR013,3-Wheeler,OD34PQ4590,Force Traveller,2024,Electric,7.33,13.1,152739,,2021-12-16 00:00:00,TRUE,2026-09-08 00:00:00,Odisha,DRV00544,FALSE
VEH00068,CAR001,2-Wheeler,TS11XY5125,Tata Ace,2019,Petrol,14.65,22.6,496470,2023-08-06 00:00:00,2023-01-12 00:00:00,TRUE,2022-02-13 00:00:00,Telangana,DRV00490,FALSE
VEH00069,CAR012,Mini Truck,DL88EF6653,Tata LPT 1613,2010,Petrol,4.76,22.4,196639,2022-08-03 00:00:00,2022-12-12 00:00:00,TRUE,2024-05-06 00:00:00,Delhi,DRV00516,FALSE
VEH00070,CAR005,Tempo,OD19XY7663,Tata Ace,2024,Diesel,20.51,10.8,230599,2021-10-03 00:00:00,2021-04-14 00:00:00,TRUE,2024-04-18 00:00:00,Odisha,DRV04317,TRUE
VEH00071,CAR008,Light Commercial Vehicle,TN87XY2358,Eicher Pro 2049,2019,Electric,9.48,19.5,91444,2021-08-17 00:00:00,2021-10-18 00:00:00,TRUE,2022-07-19 00:00:00,Tamil Nadu,DRV03248,FALSE
VEH00072,CAR006,Light Commercial Vehicle,RJ45XY8723,BharatBenz 1415,2016,LNG,18.45,13.4,1398,2023-01-17 00:00:00,2024-09-16 00:00:00,0,2022-07-18 00:00:00,Rajasthan,DRV00827,FALSE
VEH00073,CAR010,Container Truck,UK84XY4009,Mahindra Bolero Pickup,2012,LNG,18.42,11.6,382311,2023-04-20 00:00:00,2024-01-26 00:00:00,FALSE,2026-09-10 00:00:00,Uttarakhand,DRV02024,FALSE
VEH00074,CAR013,Pickup Van,TS42AB4164,Bajaj RE,2014,Petrol,22.04,18.6,411321,2023-05-06 00:00:00,2024-12-11 00:00:00,FALSE,2026-07-09 00:00:00,Telangana,DRV04416,FALSE
VEH00075,CAR012,Refrigerated Truck,RJ12PQ8807,Yulu Miracle,2009,LNG,20.03,18.1,349253,2023-05-25 00:00:00,2021-12-14 00:00:00,TRUE,2024-04-02 00:00:00,Rajasthan,DRV02375,FALSE
VEH00076,CAR013,3-Wheeler,MP52EF2028,TATA 407,2014,Electric,12.29,24.7,402384,2021-05-22 00:00:00,2022-11-14 00:00:00,TRUE,2024-10-20 00:00:00,Madhya Pradesh,DRV01147,TRUE
VEH00077,CAR003,Heavy Truck,HP77EF8410,Bajaj RE,2011,Diesel,27.5,7.3,405599,2024-04-18 00:00:00,2025-07-28 00:00:00,FALSE,2023-06-08 00:00:00,Himachal Pradesh,DRV01591,FALSE
VEH00078,CAR008,Mini Truck,TS99PQ3038,Ashok Leyland DOST,2015,Diesel,?,,498923,2021-08-22 00:00:00,2025-11-13 00:00:00,TRUE,2021-10-20 00:00:00,Telangana,DRV00263,TRUE
VEH00079,CAR013,Light Commercial Vehicle,TN29PQ4373,Mahindra Bolero Pickup,2017,Electric,6.35,13.8,,2023-07-19 00:00:00,2025-04-17 00:00:00,TRUE,2024-12-21 00:00:00,Tamil Nadu,DRV01245,TRUE
VEH00080,CAR010,Pickup Van,JH26XY3160,Maruti Super Carry,2018,LNG,23.96,,93911,2024-06-24 00:00:00,2025-01-01 00:00:00,FALSE,2026-06-07 00:00:00,Jharkhand,DRV04729,FALSE
VEH00081,CAR013,3-Wheeler,GA23AB2084,Hero Splendor,2014,CNG,0.13,8.2,372594,2021-07-22 00:00:00,2021-06-20 00:00:00,TRUE,2022-12-30 00:00:00,Goa,DRV03734,FALSE
VEH00082,CAR004,Pickup Van,UK18CD9156,BharatBenz 1415,2012,Electric,9.35,17.3,317922,2022-10-29 00:00:00,2021-04-16 00:00:00,TRUE,2024-11-15 00:00:00,Uttarakhand,DRV01251,FALSE
VEH00083,CAR011,Medium Truck,TN43EF9857,BharatBenz 1415,2021,Petrol,22.15,4.2,206452,2023-04-05 00:00:00,2022-10-20 00:00:00,FALSE,2022-04-14 00:00:00,Tamil Nadu,DRV00714,TRUE
VEH00084,CAR006,Container Truck,DL74PQ6219,BharatBenz 1415,2009,LNG,2.75,,152248,2022-10-15 00:00:00,2021-06-07 00:00:00,FALSE,2021-02-16 00:00:00,Delhi,DRV03273,FALSE
VEH00085,CAR008,2-Wheeler,DL54XY5623,Bajaj RE,2012,LNG,9.14,13,261537,2022-10-22 00:00:00,2022-10-25 00:00:00,TRUE,2022-02-17 00:00:00,Delhi,DRV00822,TRUE
VEH00086,CAR015,Pickup Van,HP71CD2169,Ashok Leyland DOST,2014,Petrol,9.57,19,233268,2024-03-01 00:00:00,2021-08-03 00:00:00,TRUE,2024-03-04 00:00:00,Himachal Pradesh,DRV02306,FALSE
VEH00087,CAR012,Pickup Van,HR58CD4446,Force Traveller,2024,LNG,4.7,23.6,225505,,2022-11-28 00:00:00,TRUE,2024-12-09 00:00:00,Haryana,DRV00570,FALSE
VEH00088,CAR012,Container Truck,TN24XY2888,Ashok Leyland DOST,2014,LNG,21.25,3.9,178297,2024-05-24 00:00:00,2022-03-11 00:00:00,FALSE,2025-05-07 00:00:00,Tamil Nadu,DRV03921,FALSE
VEH00089,CAR015,Medium Truck,TS59PQ3581,BharatBenz 1415,2014,LNG,24.08,23.3,62511,2024-04-04 00:00:00,2021-01-01 00:00:00,FALSE,2025-05-09 00:00:00,Telangana,DRV01881,FALSE
VEH00090,CAR003,Medium Truck,DL62CD4281,Force Traveller,2010,LNG,8.24,19.4,99072,2024-11-06 00:00:00,2022-11-22 00:00:00,TRUE,2021-11-11 00:00:00,Delhi,DRV01464,TRUE
VEH00091,CAR012,Mini Truck,TS86AB7770,Mahindra Bolero Pickup,2011,CNG,23.57,,85109,2022-05-30 00:00:00,2021-12-13 00:00:00,FALSE,2024-01-15 00:00:00,Telangana,DRV01584,FALSE
VEH00092,CAR013,2-Wheeler,MH27XY7834,BharatBenz 1415,2013,Electric,29.59,14.4,139845,2022-05-25 00:00:00,2021-12-11 00:00:00,FALSE,2025-01-17 00:00:00,Maharashtra,DRV04166,TRUE
VEH00093,CAR011,Heavy Truck,DL11EF2544,Piaggio Ape,2015,Electric,10.92,20.3,464467,2024-11-21 00:00:00,2025-06-24 00:00:00,FALSE,2024-04-04 00:00:00,Delhi,DRV03499,TRUE
VEH00094,CAR014,2-Wheeler,GJ67AB5794,TATA 407,2011,LNG,10.67,17.5,267543,2023-05-17 00:00:00,2023-01-05 00:00:00,TRUE,2021-01-31 00:00:00,Gujarat,DRV00883,TRUE
VEH00095,CAR006,Tempo,UK48EF2770,Yulu Miracle,2015,Petrol,28.86,14,464811,2023-09-29 00:00:00,2025-04-17 00:00:00,TRUE,2026-11-06 00:00:00,Uttarakhand,DRV02007,TRUE
VEH00096,CAR009,Light Commercial Vehicle,TN99AB2148,Piaggio Ape,2022,Petrol,9.86,9.9,456282,2022-05-11 00:00:00,2024-02-15 00:00:00,TRUE,2022-11-27 00:00:00,Tamil Nadu,DRV00624,TRUE
VEH00097,CAR007,Light Commercial Vehicle,UP79CD2768,Bajaj RE,2019,Petrol,6.17,,129401,2022-03-08 00:00:00,2022-02-13 00:00:00,FALSE,2021-01-22 00:00:00,Uttar Pradesh,DRV02843,TRUE
VEH00098,CAR007,3-Wheeler,GJ64XY2235,Tata Ace,2011,CNG,17.64,,192021,2023-01-25 00:00:00,2021-04-15 00:00:00,TRUE,2026-11-27 00:00:00,Gujarat,DRV04858,FALSE
VEH00099,CAR001,3-Wheeler,UP22EF7507,TVS King,2010,Diesel,9.3,10.8,47324,2023-08-24 00:00:00,2025-11-22 00:00:00,No,2024-06-20 00:00:00,Uttar Pradesh,DRV02340,FALSE
VEH00100,CAR013,2-Wheeler,TS87EF9170,Maruti Super Carry,2016,Petrol,28.86,10.4,184677,2021-11-04 00:00:00,2022-12-06 00:00:00,FALSE,2022-07-03 00:00:00,Telangana,DRV04182,FALSE
VEH00101,CAR014,3-Wheeler,BR54CD6536,TATA 407,2013,Diesel,20.53,14.1,73967,2021-10-07 00:00:00,2025-08-30 00:00:00,FALSE,2025-05-20 00:00:00,Bihar,DRV01944,TRUE
VEH00102,CAR009,Heavy Truck,GJ90CD4217,BharatBenz 1415,2017,Diesel,0.13,11.4,315679,2022-08-21 00:00:00,2023-02-20 00:00:00,FALSE,2023-12-11 00:00:00,Gujarat,DRV04137,FALSE
VEH00103,CAR010,Tempo,BR31XY6473,BharatBenz 1415,2014,Petrol,18.1,16.5,444101,2024-06-24 00:00:00,2022-03-07 00:00:00,FALSE,2021-06-15 00:00:00,Bihar,DRV04217,TRUE
VEH00104,CAR002,2-Wheeler,KA79PQ6117,Bajaj RE,2020,Petrol,18.76,3.6,365567,2024-09-01 00:00:00,2022-04-10 00:00:00,TRUE,2026-10-30 00:00:00,Karnataka,DRV01718,FALSE
VEH00105,CAR001,Heavy Truck,PB14EF3574,Mahindra Bolero Pickup,2016,Electric,2.71,7.3,12502,2024-11-06 00:00:00,2023-08-09 00:00:00,FALSE,2026-09-27 00:00:00,Punjab,DRV02269,TRUE
VEH00106,CAR005,Light Commercial Vehicle,TS67AB8293,Piaggio Ape,2014,Electric,17.3,3.6,102426,2023-04-26 00:00:00,2025-06-03 00:00:00,TRUE,2022-07-10 00:00:00,Telangana,DRV01025,TRUE
VEH00107,CAR012,Refrigerated Truck,AS69CD9827,Bajaj RE,2020,Petrol,10.79,,434475,2023-05-17 00:00:00,2022-01-19 00:00:00,FALSE,2021-08-06 00:00:00,Assam,DRV00081,TRUE
VEH00108,CAR012,Light Commercial Vehicle,PB30AB7811,Maruti Super Carry,2012,Electric,22.17,5.7,425241,2021-02-18 00:00:00,2022-04-03 00:00:00,TRUE,2023-06-14 00:00:00,Punjab,DRV00191,TRUE
VEH00109,CAR013,Pickup Van,HP23PQ5588,Piaggio Ape,2024,LNG,8.08,21,459655,2021-11-01 00:00:00,2023-02-15 00:00:00,TRUE,2023-08-25 00:00:00,Himachal Pradesh,DRV01737,TRUE
VEH00110,CAR004,Tempo,UP62XY2828,Mahindra Bolero Pickup,2019,Electric,19.36,9.9,447753,2021-08-02 00:00:00,2022-08-03 00:00:00,FALSE,2022-12-28 00:00:00,Uttar Pradesh,DRV03734,TRUE
VEH00111,CAR001,Medium Truck,TN45CD9876,Ashok Leyland DOST,2019,Petrol,13.42,12.8,331136,,2022-09-24 00:00:00,TRUE,2025-10-23 00:00:00,Tamil Nadu,DRV04286,FALSE
VEH00112,CAR003,Refrigerated Truck,MP40AB7937,Eicher Pro 2049,2016,Diesel,25.9,8.8,281816,2023-04-02 00:00:00,2023-03-05 00:00:00,TRUE,2024-07-04 00:00:00,Madhya Pradesh,DRV01248,FALSE
VEH00113,CAR006,Mini Truck,HP26XY6861,Tata Ace,2023,CNG,22.75,13.9,116198,2021-06-22 00:00:00,2024-05-19 00:00:00,FALSE,2021-07-14 00:00:00,Himachal Pradesh,DRV02301,Inactive
VEH00114,CAR009,Light Commercial Vehicle,KL73PQ9812,BharatBenz 1415,--,Diesel,?,14.7,154276,2023-02-24 00:00:00,2023-08-05 00:00:00,FALSE,2024-06-18 00:00:00,Kerala,DRV02180,FALSE
VEH00115,CAR007,Tempo,OD21EF8563,BharatBenz 1415,2024,Petrol,3.76,17.7,347953,2022-01-04 00:00:00,2021-07-29 00:00:00,Yes,2024-05-05 00:00:00,Odisha,DRV01834,TRUE
VEH00116,CAR015,Container Truck,HP49AB7306,Yulu Miracle,2013,LNG,20.23,20.1,236614,2024-01-14 00:00:00,2022-05-13 00:00:00,FALSE,2026-12-12 00:00:00,Himachal Pradesh,DRV01482,TRUE
VEH00117,CAR009,Container Truck,TS61AB7719,Force Traveller,2008,Electric,9.58,19.1,84661,2024-01-09 00:00:00,2023-04-27 00:00:00,TRUE,2026-03-15 00:00:00,Telangana,DRV03094,TRUE
VEH00118,CAR006,Mini Truck,OD90PQ7963,Tata LPT 1613,2016,Electric,7.98,22.2,237511,2022-03-22 00:00:00,2022-07-07 00:00:00,FALSE,2023-06-13 00:00:00,Odisha,DRV03488,FALSE
VEH00119,CAR007,Tempo,AS15PQ4256,Eicher Pro 2049,2020,Electric,27.14,3.6,46711,2023-02-20 00:00:00,2023-11-03 00:00:00,FALSE,2025-10-14 00:00:00,Assam,DRV00383,FALSE
VEH00120,CAR005,Medium Truck,MH35AB1026,Hero Splendor,2022,Diesel,8.83,,81813,2021-08-21 00:00:00,2021-10-14 00:00:00,FALSE,2022-10-04 00:00:00,Maharashtra,DRV00096,TRUE
